task,model,seed,correct_BCE,constant_age_BCE,shuffled_age_BCE,delta_constant_mean,delta_shuffle_mean,delta_constant_se,delta_shuffle_se,delta_constant_median,delta_shuffle_median,delta_constant_frac_pos,delta_shuffle_frac_pos
T0,no_age,0,0.141127495790243,0.141127495790243,0.141127495790243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,0,0.1432293728349087,0.1432293728349087,0.1432293728349087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,0,0.1405523742481349,0.1404147689770592,0.1401856444781092,-0.0001376052710756,-0.0003667297700257,0.00013039044391,0.0001786341039742,3.278510121162981e-07,-4.174798959866166e-07,0.5070521861777151,0.4858956276445698
T0,age_temporal,0,0.1453717353936404,0.145744832772132,0.1478858680235174,0.0003730973784916,0.002514132629877,0.0007416990743633,0.0009875504164426,-3.0697610782226548e-06,6.854897947050631e-07,0.4746121297602256,0.5091678420310296
T1,no_age,0,0.2450962261614652,0.2450962261614652,0.2450962261614652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,0,0.2297443527042922,0.2297443527042922,0.2297443527042922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,0,0.2471916816644442,0.2472649134298954,0.2472873263712332,7.323176545115274e-05,9.56447067889234e-05,4.16716839053913e-05,6.180182018444435e-05,-2.8458889573812485e-06,-8.069328032433987e-07,0.4816643159379407,0.4922425952045134
T1,age_temporal,0,0.2382296755577981,1.2846860139742715,1.658611294827339,1.0464563384164736,1.4203816192695409,0.0490954979930069,0.0605518866706114,0.1113216790836304,0.2167983055114746,0.844851904090268,0.7320169252468265
T2,no_age,0,0.2289499012246595,0.2289499012246595,0.2289499012246595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,0,0.2609915674372385,0.2609915674372385,0.2609915674372385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,0,0.235216483529153,0.2352321844333341,0.2352804296029904,1.5700904181068144e-05,6.39460738373944e-05,5.080668513427966e-05,7.480445549777269e-05,-5.711335688829422e-07,2.066532033495605e-06,0.4992947813822285,0.5098730606488011
T2,age_temporal,0,0.2244714758878492,0.9449177320362055,1.5374750396620902,0.7204462561483563,1.3130035637742412,0.039887620209163,0.074900579808303,0.0380919225644902,0.0406394228339195,0.7997179125528914,0.6889985895627645
T0,no_age,1,0.1529695532209485,0.1529695532209485,0.1529695532209485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,1,0.1646838666047765,0.1646838666047765,0.1646838666047765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,1,0.108974980295496,0.1089906461344767,0.1089198077057194,1.5665838980679946e-05,-5.517258977654759e-05,8.532901780551849e-05,0.0001133160758899,0.0,0.0,0.4873060648801128,0.4830747531734838
T0,age_temporal,1,0.1518266404785212,0.1522861188538373,0.1529638250738883,0.000459478375316,0.001137184595367,0.0004326789741752,0.0005854643526353,-1.639156380406348e-06,-2.980304998345673e-07,0.461212976022567,0.4880112834978843
T1,no_age,1,0.6964438548797612,0.6964438548797612,0.6964438548797612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,1,0.2094188980278921,0.2094188980278921,0.2094188980278921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,1,0.6964705152429209,0.6964695111064212,0.6964657132438947,-1.004136499800366e-06,-4.80199902619226e-06,3.7270425741063222e-06,5.337364951265113e-06,-1.0818243026733398e-05,-4.4405460357666016e-06,0.4816643159379407,0.4880112834978843
T1,age_temporal,1,0.2272064595543626,0.2941943726293049,0.3289931195386871,0.0669879130749422,0.1017866599843244,0.0090083528146168,0.0124503551245985,0.0032671280205249,0.0023719877353869,0.6650211565585331,0.6234132581100141
T2,no_age,1,0.2308188705944299,0.2308188705944299,0.2308188705944299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,1,0.2214066201966242,0.2214066201966242,0.2214066201966242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,1,0.2223191440653608,0.2223360143347882,0.222284801373385,1.6870269427412258e-05,-3.4342691975833564e-05,6.702291443714091e-05,9.656719789882082e-05,-5.690380930900574e-07,-9.554496500641108e-07,0.4992947813822285,0.4964739069111424
T2,age_temporal,1,0.238914438500795,0.2794931590333452,0.4087614564762541,0.0405787205325502,0.1698470179754591,0.0081372595562164,0.0161213437758252,0.0052979439496994,0.0045462129637598,0.6629055007052186,0.6234132581100141
T0,no_age,2,0.132117817207498,0.132117817207498,0.132117817207498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,2,0.1434062801852051,0.1434062801852051,0.1434062801852051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,2,0.152645002592358,0.1526253647907889,0.152623675245796,-1.963780156916297e-05,-2.132734656202566e-05,2.0833654236493067e-05,2.958430733896548e-05,0.0,0.0,0.4950634696755994,0.4880112834978843
T0,age_temporal,2,0.1522798017826112,0.1519646056554066,0.1517883235866657,-0.0003151961272045,-0.0004914781959455,0.0003029999325162,0.0004732724095361,1.788150711945491e-07,8.940787665778772e-08,0.5091678420310296,0.5021156558533145
T1,no_age,2,0.2068713283789846,0.2068713283789846,0.2068713283789846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,2,0.2137595086553737,0.2137595086553737,0.2137595086553737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
