task,model,correct_BCE,constant_age_BCE,shuffled_age_BCE,delta_constant,delta_shuffle
T0,age_temporal,0.14944949627535337,0.14944063479221903,0.15003607404724906,-8.8614831343e-06,0.0005865777718956724
T0,late_age,0.13868238225542878,0.13864207858698063,0.13857997752979234,-4.030366844814055e-05,-0.00010240472563643525
T0,no_age,0.1446540429322308,0.1446540429322308,0.1446540429322308,0.0,0.0
T0,temporal_only,0.14822045210553017,0.14822045210553017,0.14822045210553017,0.0,0.0
T1,age_temporal,0.22118929477416005,1.2734303144707375,1.5450460822225822,1.0522410196965777,1.323856787448422
T1,late_age,0.42303808684657973,0.42315006029937613,0.4231506663941573,0.00011197345279629817,0.0001125795475775494
T1,no_age,0.41662802021452217,0.41662802021452217,0.41662802021452217,0.0,0.0
T1,temporal_only,0.22658746484775452,0.22658746484775452,0.22658746484775452,0.0,0.0
T2,age_temporal,0.213122288161293,1.0357630162469318,1.5540156032262942,0.8226407280856389,1.3408933150650013
T2,late_age,0.3290678232538109,0.3290813551819961,0.3290969802186136,1.353192818522875e-05,2.915696480276774e-05
T2,no_age,0.33092536522390253,0.33092536522390253,0.33092536522390253,0.0,0.0
T2,temporal_only,0.23746427045361598,0.23746427045361598,0.23746427045361598,0.0,0.0
