task,model,seed,BCE,AUROC,AUPRC,accuracy,beta_true,beta_hat,lambda0_hat,lambda0_true,n_params,best_epoch,attn_pearson,attn_spearman,attn_mae,attn_js,correct_BCE,constant_age_BCE,shuffled_age_BCE,delta_constant_mean,delta_constant_se,delta_constant_median,delta_constant_frac_pos,delta_shuffle_mean,delta_shuffle_se,delta_shuffle_median,delta_shuffle_frac_pos
T0,no_age,0,0.1411275118589401,0.9888747533751028,0.988373426128418,0.9428772919605076,0.0,,,0.5,81156,19,0.0223195494673496,0.0124252804083551,0.0947747537205648,0.0708399892437555,0.141127495790243,0.141127495790243,0.141127495790243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,0,0.1432293802499771,0.9878295217219047,0.9877161292791078,0.933709449929478,0.0,,0.6515038013458252,0.5,81156,19,0.0108529984557195,0.0113607361139095,0.1160339182894135,0.0729693514361063,0.1432293728349087,0.1432293728349087,0.1432293728349087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,0,0.1405523717403412,0.9891853364949104,0.98894639000384,0.9393511988716502,0.0,,,0.5,81156,22,0.0078902139802068,0.0123648330982604,0.134462098047912,0.0890016310201636,0.1405523742481349,0.1404147689770592,0.1401856444781092,-0.0001376052710756,0.00013039044391,3.278510121162981e-07,0.5070521861777151,-0.0003667297700257,0.0001786341039742,-4.174798959866166e-07,0.4858956276445698
T0,age_temporal,0,0.1453717350959777,0.9879091584192912,0.9876524037357334,0.9358251057827928,0.0,0.1831836700439453,0.6601830124855042,0.5,81156,23,0.0094961318296261,0.0119181946403385,0.1327083462873962,0.093834371791295,0.1453717353936404,0.145744832772132,0.1478858680235174,0.0003730973784916,0.0007416990743633,-3.0697610782226548e-06,0.4746121297602256,0.002514132629877,0.0009875504164426,6.854897947050631e-07,0.5091678420310296
T1,no_age,0,0.2450962215662002,0.9654894548348588,0.9692464177872404,0.9090267983074752,1.0,,,0.5,81156,23,0.0222313711643254,0.023121096111223,0.1687633550780851,0.1680365300402756,0.2450962261614652,0.2450962261614652,0.2450962261614652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,0,0.2297443598508834,0.9708555511341028,0.9723309849812636,0.9083215796897038,1.0,,1.7877813577651978,0.5,81156,12,0.0250686046118092,0.0266001746255624,0.1483953989921099,0.1293789317381846,0.2297443527042922,0.2297443527042922,0.2297443527042922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,0,0.247191697359085,0.9653979307600478,0.968904564511718,0.9062059238363892,1.0,,,0.5,81156,13,0.0227439615412114,0.0228625159513735,0.1702631526900335,0.1728592979026689,0.2471916816644442,0.2472649134298954,0.2472873263712332,7.323176545115274e-05,4.16716839053913e-05,-2.8458889573812485e-06,0.4816643159379407,9.56447067889234e-05,6.180182018444435e-05,-8.069328032433987e-07,0.4922425952045134
T1,age_temporal,0,0.2382296621799469,0.9790131317150814,0.9807246775535972,0.9153737658674188,1.0,1.621686935424805,0.3107709586620331,0.5,81156,9,0.0060415958491829,0.0039592988112029,0.078071491854825,0.0392857822826839,0.2382296755577981,1.2846860139742715,1.658611294827339,1.0464563384164736,0.0490954979930069,0.1113216790836304,0.844851904090268,1.4203816192695409,0.0605518866706114,0.2167983055114746,0.7320169252468265
T2,no_age,0,0.2289498895406723,0.9689657439673878,0.9680012019199994,0.8984485190409027,-1.0,,,0.5,81156,26,-0.0061675457766786,-0.011125663241319,0.1266422698775372,0.0919600500095197,0.2289499012246595,0.2289499012246595,0.2289499012246595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,0,0.2609915435314178,0.9601212997886022,0.9604334775487686,0.8935119887165022,-1.0,,1.1871711015701294,0.5,81156,14,-0.007047661048067,-0.00841560883874,0.1327946434874316,0.0988497980330134,0.2609915674372385,0.2609915674372385,0.2609915674372385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,0,0.2352164983749389,0.9701811327822244,0.9689515357690172,0.8998589562764457,-1.0,,,0.5,81156,17,-0.0066929895534972,-0.0139599704479817,0.155205666570673,0.1301155897534935,0.235216483529153,0.2352321844333341,0.2352804296029904,1.5700904181068144e-05,5.080668513427966e-05,-5.711335688829422e-07,0.4992947813822285,6.39460738373944e-05,7.480445549777269e-05,2.066532033495605e-06,0.5098730606488011
T2,age_temporal,0,0.2244714647531509,0.976730285297581,0.977565120866326,0.8977433004231312,-1.0,-2.816737651824951,0.021911833435297,0.5,81156,27,0.0036781427902256,-0.0002787292632144,0.1173801492946364,0.0854853398891757,0.2244714758878492,0.9449177320362055,1.5374750396620902,0.7204462561483563,0.039887620209163,0.0380919225644902,0.7997179125528914,1.3130035637742412,0.074900579808303,0.0406394228339195,0.6889985895627645
T0,no_age,1,0.152969554066658,0.9878295217219046,0.9877105671601532,0.9351198871650211,0.0,,,0.5,81156,12,-0.0019650843487822,-0.0070589025455033,0.1266604239250231,0.091054504079271,0.1529695532209485,0.1529695532209485,0.1529695532209485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,1,0.1646838635206222,0.9862805879577368,0.986151757200556,0.9322990126939352,0.0,,0.583879828453064,0.5,81156,10,0.0072876187510513,0.0113506615622271,0.1537341526683917,0.1254458898093176,0.1646838666047765,0.1646838666047765,0.1646838666047765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,1,0.1089749783277511,0.9933801995297452,0.9933021072649773,0.9464033850493652,0.0,,,0.5,81156,19,-0.0136101063093583,-0.0046309355900329,0.097391187094682,0.0722979671127065,0.108974980295496,0.1089906461344767,0.1089198077057194,1.5665838980679946e-05,8.532901780551849e-05,0.0,0.4873060648801128,-5.517258977654759e-05,0.0001133160758899,0.0,0.4830747531734838
T0,age_temporal,1,0.1518266499042511,0.9865891801601095,0.984725777804734,0.9358251057827928,0.0,0.0988890305161476,0.6721703410148621,0.5,81156,23,0.0086194574937307,0.0118140909396198,0.1392481934256392,0.10112238400287,0.1518266404785212,0.1522861188538373,0.1529638250738883,0.000459478375316,0.0004326789741752,-1.639156380406348e-06,0.461212976022567,0.001137184595367,0.0005854643526353,-2.980304998345673e-07,0.4880112834978843
T1,no_age,1,0.6964438557624817,0.4981904098686829,0.5157361860385752,0.5063469675599436,1.0,,,0.5,81156,1,0.0161472190071949,0.0206091745583988,0.0463702036060211,0.0124545566163233,0.6964438548797612,0.6964438548797612,0.6964438548797612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,1,0.2094188928604126,0.9737763629128532,0.9753369803410676,0.9097320169252467,1.0,,2.079862356185913,0.5,81156,24,0.0253952618748861,0.0226643831016186,0.1279367329254969,0.0934275410824042,0.2094188980278921,0.2094188980278921,0.2094188980278921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,1,0.6964705586433411,0.4978939514524473,0.5154184984675134,0.5063469675599436,1.0,,,0.5,81156,1,0.0161491095850424,0.0206091745583988,0.0463690630879072,0.0124537511818789,0.6964705152429209,0.6964695111064212,0.6964657132438947,-1.004136499800366e-06,3.7270425741063222e-06,-1.0818243026733398e-05,0.4816643159379407,-4.80199902619226e-06,5.337364951265113e-06,-4.4405460357666016e-06,0.4880112834978843
T1,age_temporal,1,0.2272064685821533,0.969466772781536,0.9711932153951456,0.9040902679830748,1.0,1.0299738645553589,1.278400421142578,0.5,81156,21,0.0215081522606224,0.0219155080932231,0.1412937746559122,0.122347217399543,0.2272064595543626,0.2941943726293049,0.3289931195386871,0.0669879130749422,0.0090083528146168,0.0032671280205249,0.6650211565585331,0.1017866599843244,0.0124503551245985,0.0023719877353869,0.6234132581100141
T2,no_age,1,0.2308188676834106,0.9710916781730116,0.969550112880366,0.8984485190409027,-1.0,,,0.5,81156,29,0.0040154610509599,-0.0111961851030962,0.1627746035370523,0.1497039583605983,0.2308188705944299,0.2308188705944299,0.2308188705944299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,1,0.2214066237211227,0.9715778336989462,0.9711478924168936,0.9012693935119888,-1.0,,1.4613388776779177,0.5,81156,30,0.0033689950803785,-0.0123312512593189,0.1493999141313274,0.1292721880496619,0.2214066201966242,0.2214066201966242,0.2214066201966242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,1,0.2223191559314727,0.971434377969982,0.9712157526519226,0.9040902679830748,-1.0,,,0.5,81156,24,0.0036864095896138,-0.0110752904829068,0.1661753938738999,0.156519399401781,0.2223191440653608,0.2223360143347882,0.222284801373385,1.6870269427412258e-05,6.702291443714091e-05,-5.690380930900574e-07,0.4992947813822285,-3.4342691975833564e-05,9.656719789882082e-05,-9.554496500641108e-07,0.4964739069111424
T2,age_temporal,1,0.2389144301414489,0.966307828100188,0.9653944638047688,0.8935119887165022,-1.0,-1.3706727027893066,1.3053464889526367,0.5,81156,22,0.0052346709549454,-0.0086305326079656,0.152277708530625,0.1292423871783037,0.238914438500795,0.2794931590333452,0.4087614564762541,0.0405787205325502,0.0081372595562164,0.0052979439496994,0.6629055007052186,0.1698470179754591,0.0161213437758252,0.0045462129637598,0.6234132581100141
