task,model,n_seeds,BCE_mean,BCE_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,accuracy_mean,accuracy_std,beta_hat_mean,beta_hat_std,lambda0_hat_mean,lambda0_hat_std
T0,age_temporal,5,0.1494494944810867,0.004036957156678138,0.9876610901069324,0.000970023928578751,0.9869946180894436,0.0016009912509685946,0.9348377997179125,0.0017700846823711111,0.11183253079652784,0.04153099896717225,0.7563872933387756,0.12495171129261504
T0,late_age,5,0.13868237733840938,0.01736309554460681,0.9894835759266227,0.002349148603960291,0.9892043071533724,0.0025284754715664817,0.938787023977433,0.0053568770140572,,,,
T0,no_age,5,0.14465404450893396,0.008565140145852457,0.9886386305673517,0.0013648117298207443,0.9884488779971518,0.0013317809573515616,0.9363892806770098,0.004415366951339487,,,,
T0,temporal_only,5,0.14822044670581813,0.009406634359285963,0.9876280408775168,0.0008530441162806388,0.9874420909224707,0.0008472671086941847,0.9339915373765866,0.0015450565797042592,,,0.7488047242164612,0.12603041989055713
T1,age_temporal,5,0.22118934094905854,0.027435190799911496,0.9784476721050538,0.005684403370462424,0.979079490517958,0.004997525954097569,0.9112834978843442,0.020815301342029118,2.0477888345718385,0.8628972546826591,0.7023978471755981,0.3996268072460411
T1,late_age,5,0.4230381041765213,0.2504527101014906,0.7738014325507361,0.2644530441112972,0.7817037502415026,0.25718268062648186,0.740197461212976,0.2175794305176172,,,,
T1,no_age,5,0.4166280269622803,0.25619999900752766,0.7761233585356148,0.26486310909185357,0.7839721006284595,0.25830970940508463,0.7455571227080394,0.2206350578629755,,,,
T1,temporal_only,5,0.22658746540546412,0.014559290139292653,0.9707202546756865,0.0027844702007303653,0.9726116041111851,0.002567069570798906,0.9002820874471087,0.013506363463891845,,,1.831395697593689,0.3245293266915675
T2,age_temporal,5,0.21312229633331295,0.01959405394383926,0.9765063349651422,0.007605494836259114,0.9765503015733099,0.007816659660392486,0.9080394922425953,0.013698315723354176,-2.456946611404419,0.7718549785204806,0.4786548364907503,0.5499163490636525
T2,late_age,5,0.3290678322315216,0.20379020540289067,0.8719637694586739,0.2145572801824992,0.8696486417169386,0.2172122563112903,0.8242595204513398,0.17103216297486648,,,,
T2,no_age,5,0.33092535436153414,0.20311430888642842,0.8712970988071259,0.21372330006961973,0.8688722069082921,0.21656277987808015,0.8220028208744712,0.17015626110308546,,,,
T2,temporal_only,5,0.23746426701545711,0.01749365239296274,0.9666489339446143,0.004462213005034758,0.966251409780126,0.003938112258769176,0.8977433004231312,0.004986648668452408,,,1.3323257923126222,0.2525528909662675
