task,model,seed,correct_BCE,shuffled_age_BCE,delta_shuffle_mean,pair_accuracy,pair_accuracy_shuffled_age
T1,no_age,0,0.6932095967336185,0.6932095967336185,0.0,0.0,0.0
T1,temporal_only,0,0.6932126925356926,0.6932126925356926,0.0,0.0,0.0
T1,late_age,0,0.6932174233796959,0.6932011759638237,-1.624741587221348e-05,0.014976958525345621,0.00576036866359447
T1,age_temporal,0,1.7191906854064055e-06,7.726633547138209,7.726631827947522,1.0,0.26036866359447003
T2,no_age,0,0.6931671683208733,0.6931671683208733,0.0,0.0,0.0
T2,temporal_only,0,0.6931679350439854,0.6931679350439854,0.0,0.0,0.0
T2,late_age,0,0.6931958148419033,0.6931737996466149,-2.2015195288416428e-05,0.0034562211981566822,0.001152073732718894
T2,age_temporal,0,2.050987094257059e-06,7.719204559460998,7.719202508473904,1.0,0.26036866359447003
T1,no_age,1,0.6931588982794142,0.6931588982794142,0.0,0.0,0.0
T1,temporal_only,1,0.6931579929137011,0.6931579929137011,0.0,0.0,0.0
T1,late_age,1,0.6931596436121497,0.6931830869154996,2.344330334993002e-05,0.24078341013824886,0.10253456221198157
T1,age_temporal,1,4.796626899944602e-06,7.931882946265034,7.931878149638134,1.0,0.24078341013824886
T2,no_age,1,0.6931558812749551,0.6931558812749551,0.0,0.0,0.0
T2,temporal_only,1,0.6931561727059602,0.6931561727059602,0.0,0.0,0.0
T2,late_age,1,0.6931581341313876,0.6931772174030405,1.9083271652872113e-05,0.1912442396313364,0.0771889400921659
T2,age_temporal,1,1.8971867946622396e-06,7.935091013703758,7.935089116516963,1.0,0.24078341013824886
T1,no_age,2,0.6931812553430483,0.6931812553430483,0.0,0.0,0.0
T1,temporal_only,2,0.6931810672931408,0.6931810672931408,0.0,0.0,0.0
T1,late_age,2,0.6931817757506524,0.693182468002293,6.922516405307752e-07,0.004608294930875576,0.002304147465437788
T1,age_temporal,2,0.0019381329716876817,4.380099757046407,4.378161624074719,1.0,0.2557603686635945
T2,no_age,2,0.6931642122601035,0.6931642122601035,0.0,0.0,0.0
T2,temporal_only,2,0.6931646051838102,0.6931646051838102,0.0,0.0,0.0
T2,late_age,2,0.6931726826088769,0.6931681283127328,-4.554296144142679e-06,0.03571428571428571,0.018433179723502304
T2,age_temporal,2,5.485124761809081e-07,7.90709901794546,7.907098469432984,1.0,0.2557603686635945
T1,no_age,3,0.6931679426319038,0.6931679426319038,0.0,0.0,0.0
T1,temporal_only,3,0.693167686874416,0.693167686874416,0.0,0.0,0.0
T1,late_age,3,0.6931495508565332,0.6931419146637763,-7.636192756863782e-06,0.1175115207373272,0.06221198156682028
T1,age_temporal,3,8.641093188977748e-06,7.24654822735945,7.246539586266261,1.0,0.25806451612903225
T2,no_age,3,0.6931548517557883,0.6931548517557883,0.0,0.0,0.0
T2,temporal_only,3,0.6931546391910671,0.6931546391910671,0.0,0.0,0.0
T2,late_age,3,0.693154788340017,0.6931554774672205,6.891272035062588e-07,0.0069124423963133645,0.001152073732718894
T2,age_temporal,3,1.4384536943371388e-06,7.9726576139642145,7.9726561755105205,1.0,0.25806451612903225
T1,no_age,4,0.6931498410171627,0.6931498410171627,0.0,0.0,0.0
T1,temporal_only,4,0.6931503976819702,0.6931503976819702,0.0,0.0,0.0
T1,late_age,4,0.6931495429252699,0.6931522877946976,2.7448694277468916e-06,0.019585253456221197,0.0069124423963133645
T1,age_temporal,4,0.0008267689843006804,7.776459206623515,7.7756324376392145,0.9988479262672811,0.2511520737327189
T2,no_age,4,0.6931515319556135,0.6931515319556135,0.0,0.0,0.0
T2,temporal_only,4,0.6931482372882729,0.6931482372882729,0.0,0.0,0.0
T2,late_age,4,0.6931514851577271,0.6931586446849981,7.159527271024642e-06,0.01152073732718894,0.0069124423963133645
T2,age_temporal,4,2.486973342619261e-05,6.076110753530373,6.076085883796948,1.0,0.2511520737327189
