task,model,seed,BCE,AUROC,AUPRC,accuracy,pair_accuracy,same_prediction_rate,n_pairs,beta_true,beta_hat,lambda0_hat,lambda0_true,n_params,best_epoch,correct_BCE,constant_age_BCE,shuffled_age_BCE,delta_constant_mean,delta_shuffle_mean,pair_accuracy_correct_age,pair_accuracy_shuffled_age
T1,no_age,0,0.6932095885276794,0.5,0.5,0.5,0.0,1.0,868,1.0,,,0.5,81156,7,0.6932095967336185,0.6932095967336185,0.6932095967336185,0.0,0.0,0.0,0.0
T1,temporal_only,0,0.6932126879692078,0.5,0.5,0.5,0.0,1.0,868,1.0,,0.01149821374565363,0.5,81156,7,0.6932126925356926,0.6932126925356926,0.6932126925356926,0.0,0.0,0.0,0.0
T1,late_age,0,0.6932174563407898,0.4944188133109643,0.5269911623328384,0.5005760368663594,0.014976958525345621,0.9711981566820277,868,1.0,,,0.5,81156,7,0.6932174233796959,0.693214694475798,0.6932011759638237,-2.7289038978963403e-06,-1.624741587221348e-05,0.014976958525345621,0.00576036866359447
T1,age_temporal,0,1.6204567145905457e-06,1.0,1.0,1.0,1.0,0.0,868,1.0,1.2666486501693726,-0.20948386192321777,0.5,81156,10,1.7191906854064055e-06,1.9952163085389518,7.726633547138209,1.9952145893482665,7.726631827947522,1.0,0.26036866359447003
T2,no_age,0,0.6931672096252441,0.5,0.5,0.5,0.0,1.0,868,-1.0,,,0.5,81156,7,0.6931671683208733,0.6931671683208733,0.6931671683208733,0.0,0.0,0.0,0.0
T2,temporal_only,0,0.6931679248809814,0.5,0.5,0.5,0.0,1.0,868,-1.0,,-0.05647148936986923,0.5,81156,7,0.6931679350439854,0.6931679350439854,0.6931679350439854,0.0,0.0,0.0,0.0
T2,late_age,0,0.6931958198547363,0.500013936375799,0.5180097174896572,0.5017281105990783,0.0034562211981566822,0.9965437788018433,868,-1.0,,,0.5,81156,7,0.6931958148419033,0.6931907801378158,0.6931737996466149,-5.0347040875166795e-06,-2.2015195288416428e-05,0.0034562211981566822,0.001152073732718894
T2,age_temporal,0,1.9526335108821513e-06,1.0,1.0,1.0,1.0,0.0,868,-1.0,-1.3184826374053955,-0.18918782472610474,0.5,81156,12,2.050987094257059e-06,1.2101760401890773,7.719204559460998,1.2101739892019832,7.719202508473904,1.0,0.26036866359447003
T1,no_age,1,0.6931589245796204,0.5,0.5,0.5,0.0,1.0,868,1.0,,,0.5,81156,11,0.6931588982794142,0.6931588982794142,0.6931588982794142,0.0,0.0,0.0,0.0
T1,temporal_only,1,0.693157970905304,0.5,0.5,0.5,0.0,1.0,868,1.0,,-0.003804478095844388,0.5,81156,11,0.6931579929137011,0.6931579929137011,0.6931579929137011,0.0,0.0,0.0,0.0
T1,late_age,1,0.6931595802307129,0.4987656352863726,0.4846261832097888,0.5155529953917051,0.24078341013824886,0.5495391705069125,868,1.0,,,0.5,81156,11,0.6931596436121497,0.693156545956014,0.6931830869154996,-3.0976561357348746e-06,2.344330334993002e-05,0.24078341013824886,0.10253456221198157
T1,age_temporal,1,4.71125031253905e-06,1.0,1.0,1.0,1.0,0.0,868,1.0,1.4313856363296509,-0.2426873743534088,0.5,81156,14,4.796626899944602e-06,1.5335860217714048,7.931882946265034,1.5335812251445047,7.931878149638134,1.0,0.24078341013824886
T2,no_age,1,0.6931558847427368,0.5,0.5,0.5,0.0,1.0,868,-1.0,,,0.5,81156,11,0.6931558812749551,0.6931558812749551,0.6931558812749551,0.0,0.0,0.0,0.0
T2,temporal_only,1,0.6931561827659607,0.5,0.5,0.5,0.0,1.0,868,-1.0,,0.03286381810903549,0.5,81156,11,0.6931561727059602,0.6931561727059602,0.6931561727059602,0.0,0.0,0.0,0.0
T2,late_age,1,0.6931581497192383,0.4983289621780033,0.494231218789402,0.5074884792626728,0.1912442396313364,0.6324884792626728,868,-1.0,,,0.5,81156,11,0.6931581341313876,0.6931561051700522,0.6931772174030405,-2.028961335459063e-06,1.9083271652872113e-05,0.1912442396313364,0.0771889400921659
T2,age_temporal,1,1.7959048363991315e-06,1.0,1.0,1.0,1.0,0.0,868,-1.0,-1.275686502456665,-0.22961831092834473,0.5,81156,11,1.8971867946622396e-06,1.4521574851393282,7.935091013703758,1.4521555879525332,7.935089116516963,1.0,0.24078341013824886
