age,lambda_final,lambda_init,delta_lambda,lambda_stage1_adult_extrapolated,z_P,note
0.0,-1.1152186691761017,-1.616810917854309,0.5015922486782074,-1.3006554587296626,-1.0,lambda0/beta are single scalars shared across heads (not per-head)
0.1,-1.1141924291849137,-1.616810917854309,0.5026184886693954,-1.3011546304634491,-0.9888888888888889,lambda0/beta are single scalars shared across heads (not per-head)
0.2,-1.1131661891937257,-1.616810917854309,0.5036447286605834,-1.3016538021972357,-0.9777777777777779,lambda0/beta are single scalars shared across heads (not per-head)
0.30000000000000004,-1.1121399492025374,-1.616810917854309,0.5046709686517716,-1.3021529739310223,-0.9666666666666666,lambda0/beta are single scalars shared across heads (not per-head)
0.4,-1.1111137092113494,-1.616810917854309,0.5056972086429596,-1.3026521456648088,-0.9555555555555555,lambda0/beta are single scalars shared across heads (not per-head)
0.5,-1.1100874692201614,-1.616810917854309,0.5067234486341476,-1.3031513173985954,-0.9444444444444444,lambda0/beta are single scalars shared across heads (not per-head)
0.6000000000000001,-1.1090612292289734,-1.616810917854309,0.5077496886253356,-1.303650489132382,-0.9333333333333333,lambda0/beta are single scalars shared across heads (not per-head)
0.7000000000000001,-1.1080349892377854,-1.616810917854309,0.5087759286165237,-1.3041496608661687,-0.9222222222222223,lambda0/beta are single scalars shared across heads (not per-head)
0.8,-1.1070087492465972,-1.616810917854309,0.5098021686077119,-1.304648832599955,-0.911111111111111,lambda0/beta are single scalars shared across heads (not per-head)
0.9,-1.1059825092554092,-1.616810917854309,0.5108284085988999,-1.3051480043337418,-0.8999999999999999,lambda0/beta are single scalars shared across heads (not per-head)
1.0,-1.1049562692642212,-1.616810917854309,0.5118546485900879,-1.3056471760675283,-0.8888888888888888,lambda0/beta are single scalars shared across heads (not per-head)
1.1,-1.1039300292730332,-1.616810917854309,0.5128808885812759,-1.3061463478013149,-0.8777777777777778,lambda0/beta are single scalars shared across heads (not per-head)
1.2000000000000002,-1.1029037892818452,-1.616810917854309,0.5139071285724639,-1.3066455195351014,-0.8666666666666667,lambda0/beta are single scalars shared across heads (not per-head)
1.3,-1.101877549290657,-1.616810917854309,0.5149333685636521,-1.307144691268888,-0.8555555555555556,lambda0/beta are single scalars shared across heads (not per-head)
1.4000000000000001,-1.100851309299469,-1.616810917854309,0.5159596085548401,-1.3076438630026745,-0.8444444444444444,lambda0/beta are single scalars shared across heads (not per-head)
1.5,-1.099825069308281,-1.616810917854309,0.5169858485460281,-1.308143034736461,-0.8333333333333334,lambda0/beta are single scalars shared across heads (not per-head)
1.6,-1.098798829317093,-1.616810917854309,0.5180120885372161,-1.3086422064702476,-0.8222222222222223,lambda0/beta are single scalars shared across heads (not per-head)
1.7000000000000002,-1.097772589325905,-1.616810917854309,0.5190383285284041,-1.3091413782040342,-0.8111111111111111,lambda0/beta are single scalars shared across heads (not per-head)
1.8,-1.0967463493347167,-1.616810917854309,0.5200645685195924,-1.3096405499378208,-0.8,lambda0/beta are single scalars shared across heads (not per-head)
1.9000000000000001,-1.0957201093435287,-1.616810917854309,0.5210908085107804,-1.3101397216716073,-0.7888888888888889,lambda0/beta are single scalars shared across heads (not per-head)
2.0,-1.0946938693523407,-1.616810917854309,0.5221170485019684,-1.310638893405394,-0.7777777777777778,lambda0/beta are single scalars shared across heads (not per-head)
2.1,-1.0936676293611527,-1.616810917854309,0.5231432884931564,-1.3111380651391804,-0.7666666666666667,lambda0/beta are single scalars shared across heads (not per-head)
2.2,-1.0926413893699647,-1.616810917854309,0.5241695284843444,-1.3116372368729672,-0.7555555555555555,lambda0/beta are single scalars shared across heads (not per-head)
2.3000000000000003,-1.0916151493787765,-1.616810917854309,0.5251957684755326,-1.3121364086067537,-0.7444444444444444,lambda0/beta are single scalars shared across heads (not per-head)
2.4000000000000004,-1.0905889093875885,-1.616810917854309,0.5262220084667206,-1.3126355803405403,-0.7333333333333333,lambda0/beta are single scalars shared across heads (not per-head)
2.5,-1.0895626693964005,-1.616810917854309,0.5272482484579086,-1.3131347520743268,-0.7222222222222222,lambda0/beta are single scalars shared across heads (not per-head)
2.6,-1.0885364294052124,-1.616810917854309,0.5282744884490966,-1.3136339238081134,-0.7111111111111111,lambda0/beta are single scalars shared across heads (not per-head)
2.7,-1.0875101894140244,-1.616810917854309,0.5293007284402846,-1.3141330955419,-0.7,lambda0/beta are single scalars shared across heads (not per-head)
2.8000000000000003,-1.0864839494228362,-1.616810917854309,0.5303269684314729,-1.3146322672756865,-0.6888888888888888,lambda0/beta are single scalars shared across heads (not per-head)
2.9000000000000004,-1.0854577094316482,-1.616810917854309,0.5313532084226609,-1.315131439009473,-0.6777777777777777,lambda0/beta are single scalars shared across heads (not per-head)
3.0,-1.0844314694404602,-1.616810917854309,0.5323794484138489,-1.3156306107432596,-0.6666666666666666,lambda0/beta are single scalars shared across heads (not per-head)
3.1,-1.0834052294492722,-1.616810917854309,0.5334056884050369,-1.3161297824770462,-0.6555555555555556,lambda0/beta are single scalars shared across heads (not per-head)
3.2,-1.0823789894580842,-1.616810917854309,0.5344319283962249,-1.3166289542108327,-0.6444444444444444,lambda0/beta are single scalars shared across heads (not per-head)
3.3000000000000003,-1.081352749466896,-1.616810917854309,0.5354581683874131,-1.3171281259446195,-0.6333333333333333,lambda0/beta are single scalars shared across heads (not per-head)
3.4000000000000004,-1.080326509475708,-1.616810917854309,0.5364844083786011,-1.3176272976784058,-0.6222222222222222,lambda0/beta are single scalars shared across heads (not per-head)
3.5,-1.07930026948452,-1.616810917854309,0.5375106483697891,-1.3181264694121926,-0.6111111111111112,lambda0/beta are single scalars shared across heads (not per-head)
3.6,-1.078274029493332,-1.616810917854309,0.5385368883609771,-1.3186256411459791,-0.6000000000000001,lambda0/beta are single scalars shared across heads (not per-head)
3.7,-1.077247789502144,-1.616810917854309,0.5395631283521651,-1.3191248128797657,-0.5888888888888889,lambda0/beta are single scalars shared across heads (not per-head)
3.8000000000000003,-1.0762215495109557,-1.616810917854309,0.5405893683433534,-1.3196239846135522,-0.5777777777777777,lambda0/beta are single scalars shared across heads (not per-head)
3.9000000000000004,-1.0751953095197677,-1.616810917854309,0.5416156083345414,-1.3201231563473388,-0.5666666666666667,lambda0/beta are single scalars shared across heads (not per-head)
4.0,-1.0741690695285797,-1.616810917854309,0.5426418483257294,-1.3206223280811253,-0.5555555555555556,lambda0/beta are single scalars shared across heads (not per-head)
4.1000000000000005,-1.0731428295373917,-1.616810917854309,0.5436680883169174,-1.321121499814912,-0.5444444444444444,lambda0/beta are single scalars shared across heads (not per-head)
4.2,-1.0721165895462037,-1.616810917854309,0.5446943283081054,-1.3216206715486984,-0.5333333333333333,lambda0/beta are single scalars shared across heads (not per-head)
4.3,-1.0710903495550155,-1.616810917854309,0.5457205682992936,-1.322119843282485,-0.5222222222222223,lambda0/beta are single scalars shared across heads (not per-head)
