metric,adkm_point,nint_point,delta_point,ci_lo,ci_hi,n_patients,n_windows,ci_excludes_zero,age_band
recall@5,0.3502085500959035,0.3461609174748872,0.0040476326210163146,-0.0006007196441842871,0.008444734489467415,264,3706,False,<1
recall@20,0.5519878946801567,0.5516768979936026,0.00031099668655410704,-0.005157967914694998,0.005859725476007993,264,3706,False,<1
bce,0.0004970717367891467,0.0004975280914981673,-4.563547090205664e-07,-2.0345750295053385e-06,1.4730063475040752e-06,264,3706,False,<1
recall@5,0.4455553045474775,0.44913252432194734,-0.003577219774469851,-0.009285411030967652,0.0018934595844316614,407,14038,False,1-5
recall@20,0.6159070361663902,0.6145184393224042,0.0013885968439859822,-0.0029208475101257817,0.004728572372957288,407,14038,False,1-5
bce,0.0004162667236943752,0.00041678077230358296,-5.140486092077151e-07,-2.0133180352508367e-06,1.1541726512582437e-06,407,14038,False,1-5
recall@5,0.3612283949681876,0.3636658216242284,-0.002437426656040793,-0.006510588094603849,0.003017605758401137,283,7283,False,6-11
recall@20,0.5332760832095312,0.530655974911091,0.0026201082984402663,-0.006096604812682111,0.011748700214999599,283,7283,False,6-11
bce,0.00045558860079024984,0.0004556860128314183,-9.741204116843551e-08,-2.3291691014964178e-06,1.8755430366479613e-06,283,7283,False,6-11
recall@5,0.26763818520092486,0.27052675086636374,-0.0028885656654388634,-0.00725302299712804,0.0015549610286518434,128,3120,False,12-17
recall@20,0.442197861497221,0.4336397267267074,0.008558134770513629,9.70412203526217e-05,0.016176201768376978,128,3120,True,12-17
bce,0.0004765048776638044,0.0004759896511274793,5.152265363251037e-07,-1.9104011424159356e-06,2.589333850389844e-06,128,3120,False,12-17
