age_band,history_bin,arm,arm_label,metric,point,ci_lo,ci_hi,n_windows,n_patients
<1,<30d,age_conditioned,Age-conditioned,recall@5,0.25086626342895996,0.21986114774796583,0.28454493657114766,675,253
<1,<30d,temporal_only,Temporal-only,recall@5,0.2489074872841573,0.21744359000795754,0.281181341670173,675,253
<1,30-90d,age_conditioned,Age-conditioned,recall@5,0.36104274044943147,0.3252159744300105,0.39768854928477254,647,169
<1,30-90d,temporal_only,Temporal-only,recall@5,0.3487292728249411,0.3102523750085974,0.386528850819429,647,169
<1,90-180d,age_conditioned,Age-conditioned,recall@5,0.352311555478126,0.32053657992003687,0.38517394579320446,868,164
<1,90-180d,temporal_only,Temporal-only,recall@5,0.34494138184721074,0.3137299645100768,0.37582308570476974,868,164
<1,180d-1y,age_conditioned,Age-conditioned,recall@5,0.385015447553984,0.3524416880017041,0.41406243017452166,1516,169
<1,180d-1y,temporal_only,Temporal-only,recall@5,0.38552015594110767,0.3509992204188215,0.4168830880488642,1516,169
<1,1-3y,age_conditioned,Age-conditioned,recall@5,,,,0,0
<1,1-3y,temporal_only,Temporal-only,recall@5,,,,0,0
<1,>3y,age_conditioned,Age-conditioned,recall@5,,,,0,0
<1,>3y,temporal_only,Temporal-only,recall@5,,,,0,0
1-5,<30d,age_conditioned,Age-conditioned,recall@5,0.3039828568756107,0.25962598816327315,0.34350272055488407,267,169
1-5,<30d,temporal_only,Temporal-only,recall@5,0.2912921745566622,0.2463291062449669,0.3328036289222187,267,169
1-5,30-90d,age_conditioned,Age-conditioned,recall@5,0.4376992933391555,0.32257481249486747,0.5215471665883054,130,61
1-5,30-90d,temporal_only,Temporal-only,recall@5,0.43191848876999644,0.31139069311845474,0.5195966818432013,130,61
1-5,90-180d,age_conditioned,Age-conditioned,recall@5,0.4580210313631309,0.3570593543533713,0.5392437631428342,294,74
1-5,90-180d,temporal_only,Temporal-only,recall@5,0.4756503934410505,0.3760606342819562,0.5573020942313541,294,74
1-5,180d-1y,age_conditioned,Age-conditioned,recall@5,0.48067411356792505,0.3726008015645614,0.5205421575457188,1185,177
1-5,180d-1y,temporal_only,Temporal-only,recall@5,0.4818579900951286,0.37612908253954686,0.5231893106356738,1185,177
1-5,1-3y,age_conditioned,Age-conditioned,recall@5,0.43476077552839115,0.39311913832792705,0.465644400343387,7812,303
1-5,1-3y,temporal_only,Temporal-only,recall@5,0.43350642624627733,0.39284186231844925,0.4642204840353446,7812,303
1-5,>3y,age_conditioned,Age-conditioned,recall@5,0.46308794445844076,0.4025034072915351,0.5127995520532354,4350,206
1-5,>3y,temporal_only,Temporal-only,recall@5,0.4762147542172202,0.4093733786916649,0.5311402621349463,4350,206
6-11,<30d,age_conditioned,Age-conditioned,recall@5,0.3078260873970778,0.21092315077579324,0.384346335545109,119,58
6-11,<30d,temporal_only,Temporal-only,recall@5,0.2885507251905358,0.20686163160793897,0.3480031257141381,119,58
6-11,30-90d,age_conditioned,Age-conditioned,recall@5,0.2873809537717274,0.19623452114230797,0.3788348538802245,72,27
6-11,30-90d,temporal_only,Temporal-only,recall@5,0.28452381065913607,0.1931717699659722,0.3741714755314378,72,27
6-11,90-180d,age_conditioned,Age-conditioned,recall@5,0.40264550467332205,0.29637378466380676,0.5144328434878378,75,24
6-11,90-180d,temporal_only,Temporal-only,recall@5,0.3993121713399887,0.2940380789889466,0.5096567484062342,75,24
6-11,180d-1y,age_conditioned,Age-conditioned,recall@5,0.40880131485133336,0.29037247560542034,0.5220028343020575,146,33
6-11,180d-1y,temporal_only,Temporal-only,recall@5,0.40397372882941673,0.27422480786782366,0.5270527884979266,146,33
6-11,1-3y,age_conditioned,Age-conditioned,recall@5,0.461257946322489,0.36693807364780495,0.5324166791061968,1187,79
6-11,1-3y,temporal_only,Temporal-only,recall@5,0.4579221710976627,0.3633514876393087,0.5282414387653924,1187,79
6-11,>3y,age_conditioned,Age-conditioned,recall@5,0.340350107859935,0.3183935946248066,0.3636100045720961,5684,234
6-11,>3y,temporal_only,Temporal-only,recall@5,0.3447915883931403,0.32187204929085794,0.3685006921186373,5684,234
12-17,<30d,age_conditioned,Age-conditioned,recall@5,0.3240362842168127,0.230412317467553,0.43696272148897763,42,21
12-17,<30d,temporal_only,Temporal-only,recall@5,0.34784580802633647,0.26103448832035064,0.4491890383919018,42,21
12-17,30-90d,age_conditioned,Age-conditioned,recall@5,0.3907407428379412,0.212745099383242,0.5677777806917826,27,9
12-17,30-90d,temporal_only,Temporal-only,recall@5,0.33518518728238567,0.12450980526559494,0.5511904795254979,27,9
12-17,90-180d,age_conditioned,Age-conditioned,recall@5,0.5555555555555556,0.3,0.7142857142857143,9,5
12-17,90-180d,temporal_only,Temporal-only,recall@5,0.3888888888888889,0.0,0.7,9,5
12-17,180d-1y,age_conditioned,Age-conditioned,recall@5,0.3371212143789638,0.1041666679084301,0.5075757611881603,22,7
12-17,180d-1y,temporal_only,Temporal-only,recall@5,0.30303030528805475,0.0416666679084301,0.4523809552192688,22,7
12-17,1-3y,age_conditioned,Age-conditioned,recall@5,0.20507983741756716,0.076940925902638,0.49717391606449196,337,17
12-17,1-3y,temporal_only,Temporal-only,recall@5,0.2179844237046001,0.08818933970164664,0.5172989160385595,337,17
12-17,>3y,age_conditioned,Age-conditioned,recall@5,0.27191352321800233,0.2294839402150047,0.31918656701121767,2683,102
12-17,>3y,temporal_only,Temporal-only,recall@5,0.2746744172662434,0.23204215363947298,0.32219756807634614,2683,102
