event_type,code_system,raw_code,normalized_code,mimic_token,mimic_token_id,mapping_status,oov_cause,needed_normalization,description,source_code_system,n_events,n_patients,sample_description
diagnosis,ICD9,796.4,7964,ICD9_7964,22078.0,unmapped_icd_in_vocab,,true,Other abnormal clinical findings,ICD9,241,127,Other abnormal clinical finding
diagnosis,ICD10,Z79.899,Z79899,ICD10_Z79899,21481.0,unmapped_icd_in_vocab,,true,Other long term (current) drug therapy,ICD10,3023,650,Other long term (current) drug therapy
diagnosis,ICD9,783.40,78340,PHE_264.9,25279.0,mapped_phecode,,true,"Lack of normal physiological development, unspecified (endocrine/metabolic)",ICD9,19617,468,"Lack of normal physiological development, unspecified"
diagnosis,ICD10,Z93.1,Z931,ICD10_Z931,21756.0,unmapped_icd_in_vocab,,true,Gastrostomy status,ICD10,8961,317,Gastrostomy status
diagnosis,ICD9,453.41,45341,PHE_452.2,25822.0,mapped_phecode,,true,Deep vein thrombosis [DVT] (circulatory system),ICD9,14,2,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity
diagnosis,ICD10,Z79.01,Z7901,ICD10_Z7901,21465.0,unmapped_icd_in_vocab,,true,Long term (current) use of anticoagulants,ICD10,935,51,Long term (current) use of anticoagulants
diagnosis,ICD9,780.60,78060,PHE_783,26575.0,mapped_phecode,,true,Fever of unknown origin (symptoms),ICD9,4267,959,Fever
diagnosis,ICD9,204.00,20400,PHE_204.11,25149.0,mapped_phecode,,true,"Lymphoid leukemia, acute (neoplasms)",ICD9,543,5,ALL (acute lymphocytic leukemia)
diagnosis,ICD9,V20.2,V202,ICD9_V202,,oov,code_version_mismatch,true,,ICD9,11539,902,Routine infant or child health check
diagnosis,ICD9,E906.4,E9064,ICD9_E9064,22834.0,unmapped_icd_in_vocab,,true,Bite of nonvenomous arthropod,ICD9,337,146,Bite of nonvenomous arthropod(E906.4)
diagnosis,ICD9,910.0,9100,ICD9_9100,22288.0,unmapped_icd_in_vocab,,true,"Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection",ICD9,78,43,"Face, neck, and scalp, except eye, abrasion or friction burn, without mention of infection"
diagnosis,ICD9,V72.84,V7284,ICD9_V7284,23370.0,unmapped_icd_in_vocab,,true,"Pre-operative examination, unspecified",ICD9,126,51,"Preoperative examination, unspecified"
diagnosis,ICD9,784.7,7847,PHE_477,25857.0,mapped_phecode,,true,Epistaxis or throat hemorrhage (respiratory),ICD9,436,105,Epistaxis
diagnosis,ICD9,783.1,7831,PHE_278.4,25338.0,mapped_phecode,,true,Abnormal weight gain (endocrine/metabolic),ICD9,2086,272,Abnormal weight gain
diagnosis,ICD9,796.2,7962,ICD9_7962,22077.0,unmapped_icd_in_vocab,,true,Elevated blood pressure reading without diagnosis of hypertension,ICD9,540,153,Elevated blood pressure reading without diagnosis of hypertension
diagnosis,ICD9,782.1,7821,PHE_687.1,26300.0,mapped_phecode,,true,Rash and other nonspecific skin eruption (dermatologic),ICD9,1591,571,Rash
diagnosis,ICD9,V20.31,V2031,ICD9_V2031,,oov,code_version_mismatch,true,,ICD9,297,120,Health supervision for newborn under 8 days old
diagnosis,ICD9,787.03,78703,PHE_789,26579.0,mapped_phecode,,true,Nausea and vomiting (symptoms),ICD9,3252,733,Vomiting
diagnosis,ICD10,D75.9,D759,PHE_289,25395.0,mapped_phecode,,true,Other diseases of blood and blood-forming organs (hematopoietic),ICD10,42,9,"Disease of blood and blood-forming organs, unspecified"
diagnosis,ICD10,L80,L80,PHE_694.1,26310.0,mapped_phecode,,false,Vitiligo (dermatologic),ICD10,33,8,Vitiligo
diagnosis,ICD10,M13.0,M130,PHE_714,26383.0,mapped_phecode,,true,Rheumatoid arthritis and other inflammatory polyarthropathies (musculoskeletal),ICD10,1,1,"Polyarthritis, unspecified"
diagnosis,ICD9,V58.83,V5883,ICD9_V5883,23264.0,unmapped_icd_in_vocab,,true,Encounter for therapeutic drug monitoring,ICD9,225,71,Encounter for therapeutic drug monitoring
diagnosis,ICD9,260,260,PHE_260.21,25264.0,mapped_phecode,,false,Kwashiorkor (endocrine/metabolic),ICD9,1,1,Kwashiorkor
diagnosis,ICD10,I82.90,I8290,ICD10_I8290,9514.0,unmapped_icd_in_vocab,,true,Acute embolism and thrombosis of unspecified vein,ICD10,283,28,Thrombus
diagnosis,ICD9,282.62,28262,PHE_282.5,25353.0,mapped_phecode,,true,Sickle cell anemia (hematopoietic),ICD9,396,17,Acute chest syndrome
diagnosis,ICD9,079.3,0793,PHE_079,25013.0,mapped_phecode,,true,Viral infection (infectious diseases),ICD9,277,106,Rhinovirus infection in conditions classified elsewhere and of unspecified site
diagnosis,ICD9,redacted,"",,,redacted,redacted,false,,ICD9,2744,624,redacted
diagnosis,ICD9,287.31,28731,PHE_287.31,25387.0,mapped_phecode,,true,Primary thrombocytopenia (hematopoietic),ICD9,215,8,ITP (idiopathic thrombocytopenic purpura)
diagnosis,ICD9,719.16,71916,PHE_741.5,26479.0,mapped_phecode,,true,Hemarthrosis (musculoskeletal),ICD9,3,1,Hemarthrosis involving knee joint
diagnosis,ICD9,110.0,1100,PHE_110.1,25033.0,mapped_phecode,,true,Dermatophytosis (infectious diseases),ICD9,194,68,Tinea capitis
diagnosis,ICD9,785.0,7850,PHE_427.7,25752.0,mapped_phecode,,true,Tachycardia NOS (circulatory system),ICD9,286,137,"Tachycardia, unspecified"
diagnosis,ICD10,D64.9,D649,PHE_285,25363.0,mapped_phecode,,true,Other anemias (hematopoietic),ICD10,681,220,"Anemia, unspecified type"
diagnosis,ICD10,D53.9,D539,PHE_281.9,25352.0,mapped_phecode,,true,Deficiency anemias (hematopoietic),ICD10,25,7,"Nutritional anemia, unspecified"
diagnosis,ICD10,B97.89,B9789,ICD10_B9789,5928.0,unmapped_icd_in_vocab,,true,Other viral agents as the cause of diseases classified elsewhere,ICD10,1429,685,Other viral agents as the cause of diseases classified elsewhere
diagnosis,ICD9,112.3,1123,PHE_112.3,25040.0,mapped_phecode,,true,Candidiasis of skin and nails (infectious diseases),ICD9,404,176,Candidal diaper rash
diagnosis,ICD10,H90.A12,H90A12,ICD10_H90A12,,oov,unknown_unmappable,true,,ICD10,71,10,"Conductive hearing loss, unilateral, left ear with restricted hearing on the contralateral side"
diagnosis,ICD10,Q16.1,Q161,PHE_749,26502.0,mapped_phecode,,true,Congenital anomalies of face and neck (congenital anomalies),ICD10,132,29,"Congenital absence, atresia and stricture of auditory canal (external)"
diagnosis,ICD10,B07.9,B079,ICD10_B079,5865.0,unmapped_icd_in_vocab,,true,"Viral wart, unspecified",ICD10,278,54,"Viral warts, unspecified type"
diagnosis,ICD9,345.40,34540,PHE_345.12,25524.0,mapped_phecode,,true,Partial epilepsy (neurological),ICD9,2216,81,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy"
diagnosis,ICD9,V68.1,V681,ICD9_V681,23341.0,unmapped_icd_in_vocab,,true,Issue of repeat prescriptions,ICD9,908,206,Issue of repeat prescriptions
diagnosis,ICD10,Z99.81,Z9981,ICD10_Z9981,21842.0,unmapped_icd_in_vocab,,true,Dependence on supplemental oxygen,ICD10,1672,230,Requires supplemental oxygen
diagnosis,ICD10,P92.8,P928,PHE_656.3,,oov,pediatric_absent,true,,ICD10,64,49,Other feeding problems of newborn
diagnosis,ICD9,758.0,7580,PHE_758.1,26548.0,mapped_phecode,,true,Chromosomal anomalies (congenital anomalies),ICD9,10213,121,Down's syndrome
diagnosis,ICD9,V57.21,V5721,ICD9_V5721,,oov,code_version_mismatch,true,,ICD9,10883,244,Encounter for occupational therapy
diagnosis,ICD9,V57.3,V573,ICD9_V573,,oov,code_version_mismatch,true,,ICD9,14931,278,Care involving speech-language therapy
diagnosis,ICD9,789.00,78900,PHE_785,26577.0,mapped_phecode,,true,Abdominal pain (symptoms),ICD9,1916,454,Abdominal pain
