event_type,code_system,raw_code,normalized_code,mimic_token,mapping_status,oov_cause,n_events,n_patients,sample_description
medication,RXNORM,,,,oov,unknown_unmappable,1136847,2685,TOBRAMYCIN AEROSOL INPATIENT < 160 MG
medication,RXNORM,144450,144450,RXN_144450,oov,pediatric_absent,135448,507,"infant formula, iron/dha/ara"
medication,RXNORM,801092,801092,RXN_801092,oov,pediatric_absent,53474,1262,albuterol sulfate
medication,RXNORM,727634,727634,RXN_727634,oov,pediatric_absent,53366,2556,sodium chloride 0.9 % (flush)
procedure,HCPCS,94640,94640,HCPCS_94640,oov,unknown_unmappable,47446,1045,COOL AEROSOL NEBULIZER PER DAY
medication,RXNORM,307668,307668,RXN_307668,oov,pediatric_absent,46809,2155,acetaminophen
procedure,HCPCS,97110,97110,HCPCS_97110,oov,unknown_unmappable,30191,1132,PTS THERAPEUTIC EXERCISE/15MIN
medication,RXNORM,725145,725145,RXN_725145,oov,pediatric_absent,26712,266,"petrolatum,white"
procedure,HCPCS,92507,92507,HCPCS_92507,oov,unknown_unmappable,24662,556,"INDIVIDUAL S&H THERAPY, INTERM"
medication,RXNORM,107129,107129,RXN_107129,oov,pediatric_absent,21858,312,water
procedure,HCPCS,97112,97112,HCPCS_97112,oov,unknown_unmappable,18298,738,PT NEUROMUSC RE-EDUC/15 MIN
procedure,HCPCS,97530,97530,HCPCS_97530,oov,unknown_unmappable,18283,885,OT FUNCTIONAL TRAINING/15 MIN
medication,RXNORM,876863,876863,RXN_876863,oov,pediatric_absent,17187,335,multivitamin with iron
medication,RXNORM,244638,244638,RXN_244638,oov,pediatric_absent,16882,179,cod liver oil/zinc oxide
medication,RXNORM,846127,846127,RXN_846127,oov,pediatric_absent,16266,365,chlorhexidine gluconate
diagnosis,ICD9,V57.1,V571,ICD9_V571,oov,code_version_mismatch,15733,258,Other physical therapy
diagnosis,ICD9,V57.3,V573,ICD9_V573,oov,code_version_mismatch,14931,278,Care involving speech-language therapy
medication,RXNORM,1362057,1362057,RXN_1362057,oov,pediatric_absent,14518,245,"heparin sodium,porcine/PF"
medication,RXNORM,200317,200317,RXN_200317,oov,pediatric_absent,13833,219,fat emulsions
medication,RXNORM,416684,416684,RXN_416684,oov,pediatric_absent,13219,126,"zinc oxide/petrolatum, yellow"
medication,RXNORM,312447,312447,RXN_312447,oov,pediatric_absent,12695,259,piperacillin sodium/tazobactam
medication,RXNORM,836343,836343,RXN_836343,oov,pediatric_absent,12607,83,ipratropium bromide
medication,RXNORM,1360074,1360074,RXN_1360074,oov,pediatric_absent,12295,216,beclomethasone dipropionate
medication,RXNORM,1421893,1421893,RXN_1421893,oov,pediatric_absent,12025,1575,lidocaine/transparent dressing
diagnosis,ICD9,V20.2,V202,ICD9_V202,oov,code_version_mismatch,11539,902,Routine infant or child health check
diagnosis,ICD10,Z00.129,Z00129,ICD10_Z00129,oov,unknown_unmappable,11480,1218,Encounter for routine child health examination without abnormal findings
medication,RXNORM,895994,895994,RXN_895994,oov,pediatric_absent,11436,481,fluticasone propionate
medication,RXNORM,646456,646456,RXN_646456,oov,pediatric_absent,11122,254,nystatin
medication,RXNORM,251154,251154,RXN_251154,oov,pediatric_absent,10931,371,cholecalciferol (vitamin D3)
diagnosis,ICD9,V57.21,V5721,ICD9_V5721,oov,code_version_mismatch,10883,244,Encounter for occupational therapy
procedure,HCPCS,94660,94660,HCPCS_94660,oov,unknown_unmappable,10670,513,BIPAP SUBSEQ DAYS
medication,RXNORM,1808217,1808217,RXN_1808217,oov,pediatric_absent,9692,1944,propofol
procedure,HCPCS,71010,71010,HCPCS_71010,oov,unknown_unmappable,9431,639,PORT CHEST SINGLE
medication,RXNORM,1307427,1307427,RXN_1307427,oov,pediatric_absent,9081,25,sildenafil citrate
medication,RXNORM,70727,70727,RXN_70727,oov,pediatric_absent,8800,132,"pedi nutrit,iron,lac-free,fibr"
medication,RXNORM,895999,895999,RXN_895999,oov,pediatric_absent,8726,323,fluticasone propionate
medication,RXNORM,864761,864761,RXN_864761,oov,pediatric_absent,8608,83,methadone HCl
medication,RXNORM,686400,686400,RXN_686400,oov,pediatric_absent,8134,129,erythromycin ethylsuccinate
procedure,HCPCS,99283,99283,HCPCS_99283,oov,unknown_unmappable,7713,1726,PR EMERGENCY DEPARTMENT VISIT MODERATE SEVERITY
medication,RXNORM,1795344,1795344,RXN_1795344,oov,pediatric_absent,7337,438,dextrose 5 % and 0.9 % NaCl
medication,RXNORM,308189,308189,RXN_308189,oov,pediatric_absent,7212,1430,amoxicillin
medication,RXNORM,999961,999961,RXN_999961,oov,pediatric_absent,6444,75,glycopyrrolate
procedure,HCPCS,71045,71045,HCPCS_71045,oov,unknown_unmappable,6351,506,CHG RADIOLOGIC EXAM CHEST SINGLE VIEW
medication,RXNORM,856940,856940,RXN_856940,oov,pediatric_absent,6186,803,hydrocodone/acetaminophen
medication,RXNORM,310014,310014,RXN_310014,oov,pediatric_absent,6142,94,dornase alfa
procedure,HCPCS,97124,97124,HCPCS_97124,oov,unknown_unmappable,6027,375,MASSAGE THERAPY PER 15 MINUTES
medication,RXNORM,605320,605320,RXN_605320,oov,pediatric_absent,5847,227,Saccharomyces boulardii
procedure,HCPCS,95810,95810,HCPCS_95810,oov,unknown_unmappable,5666,2305,"POLYSOMNOGRAPHY, 6 YRS+, 4 OR MORE ADDL PARAM, W/ TECH"
procedure,HCPCS,74000,74000,HCPCS_74000,oov,unknown_unmappable,4975,733,X-RAY ABDOM SINGLE
medication,RXNORM,151029,151029,RXN_151029,oov,pediatric_absent,4909,29,mometasone furoate
medication,RXNORM,876858,876858,RXN_876858,oov,pediatric_absent,4688,246,multivitamin
procedure,HCPCS,71020,71020,HCPCS_71020,oov,unknown_unmappable,4674,1131,X-RAY CHEST PA & LAT
procedure,HCPCS,84443,84443,HCPCS_84443,oov,unknown_unmappable,4648,1562,THYROID STIMULATING HORMONE
medication,RXNORM,309198,309198,RXN_309198,oov,pediatric_absent,4587,78,chlorothiazide
medication,RXNORM,4850,4850,RXN_4850,oov,pediatric_absent,4556,428,electrolytes/dextrose
medication,RXNORM,253039,253039,RXN_253039,oov,pediatric_absent,4421,189,melatonin
medication,RXNORM,707251,707251,RXN_707251,oov,pediatric_absent,4394,460,sodium chloride
medication,RXNORM,1246304,1246304,RXN_1246304,oov,pediatric_absent,4207,58,budesonide/formoterol fumarate
medication,RXNORM,855495,855495,RXN_855495,oov,pediatric_absent,4098,12,lipase/protease/amylase
procedure,HCPCS,94762,94762,HCPCS_94762,oov,unknown_unmappable,4087,287,OXIMETRY CONT OVERNIGHT
procedure,HCPCS,84439,84439,HCPCS_84439,oov,unknown_unmappable,4084,1395,THYROXINE FREE
procedure,HCPCS,93005,93005,HCPCS_93005,oov,unknown_unmappable,4066,1207,"ECG, ROUTINE, MIN 12 LEADS, TRACING ONLY"
medication,RXNORM,250820,250820,RXN_250820,oov,pediatric_absent,3917,29,vigabatrin
