rxcui,level1_token,level2_token,level3_token,tty
197803,RXN_197803,RXN_197803,THERA_ANTIARTHRITICS,Semantic Clinical Drug
308189,,,THERA_ANTIBIOTICS,Semantic Clinical Drug
1366116,RXN_1366116,RXN_1366116,THERA_ANTIBIOTICS,Semantic Clinical Drug
1437702,RXN_1437702,RXN_1437702,THERA_ANTIASTHMATICS,Semantic Clinical Drug
283077,RXN_283077,RXN_283077,THERA_HORMONES,Semantic Clinical Drug
801092,RXN_801095,,THERA_ANTIASTHMATICS,Semantic Clinical Drug
307668,,,THERA_ANALGESICS,Semantic Clinical Drug
1311560,,INGSET_1311560,THERA_ANESTHETICS,Ingredient
1807627,RXN_1807627,RXN_1807627,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
998212,RXN_998212,RXN_998212,THERA_ANALGESICS,Semantic Clinical Drug
311683,RXN_311683,RXN_311683,THERA_ANTIBIOTICS,Semantic Clinical Drug
847630,RXN_847630,RXN_847630,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
1049604,RXN_1049604,RXN_1049604,THERA_ANALGESICS,Semantic Clinical Drug
876193,RXN_876193,RXN_876193,THERA_GASTROINTESTINAL,Semantic Clinical Drug
1740467,RXN_1740467,RXN_1740467,THERA_GASTROINTESTINAL,Semantic Clinical Drug
727634,,,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
198434,,,THERA_ANALGESICS,Semantic Clinical Drug
1737759,,,THERA_CARDIAC_DRUGS,Semantic Clinical Drug
1808217,RXN_1808219,,THERA_ANESTHETICS,Semantic Clinical Drug
904810,,,THERA_AUTONOMIC_DRUGS,Semantic Clinical Drug
1234995,RXN_1234995,RXN_1234995,THERA_AUTONOMIC_DRUGS,Semantic Clinical Drug
1116927,RXN_1116927,RXN_1116927,THERA_HORMONES,Semantic Clinical Drug
1735003,RXN_1735003,RXN_1735003,THERA_ANALGESICS,Semantic Clinical Drug
1010671,RXN_1010671,RXN_1010671,THERA_ANESTHETICS,Semantic Clinical Drug
238212,RXN_238212,RXN_238212,THERA_GASTROINTESTINAL,Semantic Clinical Drug
1660014,RXN_1660014,RXN_1660014,THERA_AUTONOMIC_DRUGS,Semantic Clinical Drug
1670366,,,THERA_ANESTHETICS,Semantic Clinical Drug
309710,RXN_309710,RXN_309710,THERA_SEDATIVE_HYPNOTICS,Semantic Clinical Drug
897756,RXN_1872265,,THERA_ANALGESICS,Semantic Clinical Drug
1665461,RXN_1665461,RXN_1665461,THERA_ANALGESICS,Semantic Clinical Drug
311935,,,THERA_AUTONOMIC_DRUGS,Semantic Clinical Drug
309113,RXN_309113,RXN_309113,THERA_ANTIBIOTICS,Semantic Clinical Drug
702311,RXN_702311,RXN_702311,THERA_GASTROINTESTINAL,Semantic Clinical Drug
1046982,RXN_1046982,RXN_1046982,THERA_GASTROINTESTINAL,Semantic Clinical Drug
198509,RXN_198509,RXN_198509,THERA_GASTROINTESTINAL,Semantic Clinical Drug
27792,,INGSET_27792,THERA_DIAGNOSTIC,Ingredient
763564,,,THERA_ANTIINFLAM_TUMOR_NECROSIS_FACTOR_INHIBITING_AGENTS,Semantic Clinical Drug
105585,RXN_105585,RXN_105585,THERA_ANTINEOPLASTICS,Semantic Clinical Drug
310410,RXN_310410,RXN_310410,THERA_VITAMINS,Semantic Clinical Drug
991061,RXN_991061,RXN_991061,THERA_GASTROINTESTINAL,Semantic Clinical Drug
1421893,,,THERA_ANESTHETICS,Semantic Clinical Drug
197877,RXN_197877,RXN_197877,THERA_ANESTHETICS,Semantic Clinical Drug
242438,RXN_242438,RXN_242438,THERA_ANTIASTHMATICS,Semantic Clinical Drug
89905,,,THERA_VITAMINS,Ingredient
630208,RXN_630208,RXN_630208,THERA_ANTIASTHMATICS,Semantic Clinical Drug
308753,RXN_308753,RXN_308753,THERA_GASTROINTESTINAL,Semantic Clinical Drug
199672,RXN_199672,RXN_199672,THERA_ANTIINFECTIVES_MISCELLANEOUS,Semantic Clinical Drug
1921016,,,THERA_ANTIINFLAM_TUMOR_NECROSIS_FACTOR_INHIBITING_AGENTS,Semantic Clinical Drug
1536142,,,THERA_ANTIASTHMATICS,Semantic Clinical Drug
251154,,,THERA_VITAMINS,Semantic Clinical Drug
705610,RXN_705610,RXN_705610,THERA_GASTROINTESTINAL,Semantic Clinical Drug
884308,RXN_884308,RXN_884308,THERA_ANTIFUNGALS,Semantic Clinical Drug
856940,,,THERA_ANALGESICS,Semantic Clinical Drug
847627,RXN_847627,RXN_847627,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
313920,RXN_313920,RXN_313920,THERA_ANTIBIOTICS,Semantic Clinical Drug
1010751,RXN_1010751,RXN_1010751,THERA_ANESTHETICS,Semantic Clinical Drug
1863973,,,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
198857,RXN_198857,RXN_198857,THERA_GASTROINTESTINAL,Semantic Clinical Drug
4850,,INGSET_1049303+1049305+1154149+1154150+1154296+1155869+1155870+1162688+1162689+1162691+1162692+1165804+1165805+1165808+1165810+1165813+1165814+1165817+1165818+1165819+1165822+1165823+1165824+1294814+1294948+1295628+1375956+1375957+1375958+1598319+1608476+1794561+1794567+1861716+1863604+1919486+1919487+1919488+2205191+239166+2473283+2474502+2474503+2531367+2566843+315786+315787+315789+315790+317349+317380+317630+329086+329095+329096+329115+336547+340384+371774+372326+376937+377010+377980+384957+727516+799994+800038+800056+800363+800395+800807+801004+801023+801867+849417+875807+875814+875816+875826+876076+891450,THERA_ELECT_CALORIC_H2O,Ingredient
707251,,,THERA_EENT_PREPS,Semantic Clinical Drug
707329,,,THERA_EENT_PREPS,Semantic Clinical Drug
1863605,RXN_1863605,RXN_1863605,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
1190776,,,THERA_GASTROINTESTINAL,Semantic Clinical Drug
1665052,RXN_1665052,RXN_1665052,THERA_ANTIBIOTICS,Semantic Clinical Drug
483017,RXN_483017,RXN_483017,THERA_ANALGESICS,Semantic Clinical Drug
1726992,RXN_1726997,,THERA_UNCLASSIFIED_DRUG_PRODUCTS,Semantic Clinical Drug
1795250,RXN_1795250,RXN_1795250,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
238100,RXN_238100,RXN_238100,THERA_SEDATIVE_HYPNOTICS,Semantic Clinical Drug
1795344,,,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
312447,,,THERA_ANTIBIOTICS,Semantic Clinical Drug
311700,RXN_311700,RXN_311700,THERA_ANESTHETICS,Semantic Clinical Drug
859437,RXN_859437,RXN_859437,THERA_AUTONOMIC_DRUGS,Semantic Clinical Drug
1665088,RXN_1665088,RXN_1665088,THERA_ANTIBIOTICS,Semantic Clinical Drug
310133,,,THERA_ANTIASTHMATICS,Semantic Clinical Drug
1193360,RXN_1193360,RXN_1193360,THERA_CNS_DRUGS,Semantic Clinical Drug
403884,RXN_403884,RXN_403884,THERA_CNS_DRUGS,Semantic Clinical Drug
702519,RXN_702519,RXN_702519,THERA_SEDATIVE_HYPNOTICS,Semantic Clinical Drug
198368,RXN_198368,RXN_198368,THERA_SEDATIVE_HYPNOTICS,Semantic Clinical Drug
237723,RXN_237723,RXN_237723,THERA_VITAMINS,Semantic Clinical Drug
725145,RXN_1052954,,THERA_SKIN_PREPS,Semantic Clinical Drug
1551393,,,THERA_ANESTHETICS,Semantic Clinical Drug
801957,,,THERA_CNS_DRUGS,Semantic Clinical Drug
283536,RXN_283536,RXN_283536,THERA_CNS_DRUGS,Semantic Clinical Drug
311702,RXN_311702,RXN_311702,THERA_ANESTHETICS,Semantic Clinical Drug
312997,RXN_312997,RXN_312997,THERA_UNCLASSIFIED_DRUG_PRODUCTS,Semantic Clinical Drug
309307,RXN_309307,RXN_309307,THERA_ANTIBIOTICS,Semantic Clinical Drug
1737850,RXN_1737850,RXN_1737850,THERA_UNCLASSIFIED_DRUG_PRODUCTS,Semantic Clinical Drug
1331,,INGSET_1331,THERA_DIAGNOSTIC,Ingredient
251156,RXN_251156,RXN_251156,THERA_ELECT_CALORIC_H2O,Semantic Clinical Drug
1085754,RXN_1085754,RXN_1085754,THERA_HORMONES,Semantic Clinical Drug
307675,RXN_307675,RXN_307675,THERA_ANALGESICS,Semantic Clinical Drug
5971,,INGSET_5971,THERA_DIAGNOSTIC,Precise Ingredient
1014673,RXN_1014673,RXN_1014673,THERA_ANTIHISTAMINES,Semantic Clinical Drug
1797907,RXN_1797907,RXN_1797907,THERA_EENT_PREPS,Semantic Clinical Drug
421299,,,THERA_GASTROINTESTINAL,Semantic Clinical Drug
692783,,,THERA_ANTIHISTAMINES,Semantic Clinical Drug
476576,,,THERA_ANTIBIOTICS,Semantic Clinical Drug
834127,RXN_834127,RXN_834127,THERA_UNCLASSIFIED_DRUG_PRODUCTS,Semantic Clinical Drug
1049633,RXN_1049633,RXN_1049633,THERA_ANTIHISTAMINES,Semantic Clinical Drug
895999,RXN_896001,,THERA_ANTIASTHMATICS,Semantic Clinical Drug
617430,,,THERA_ANTIBIOTICS,Semantic Clinical Drug
1014314,RXN_1014314,RXN_1014314,THERA_SKIN_PREPS,Semantic Clinical Drug
1115698,RXN_1115698,RXN_1115698,THERA_ANTIVIRALS,Semantic Clinical Drug
617993,,,THERA_ANTIBIOTICS,Semantic Clinical Drug
801961,,,THERA_CNS_DRUGS,Semantic Clinical Drug
854977,,,THERA_BIOLOGICALS,Semantic Clinical Drug
1190655,RXN_1190655,RXN_1190655,THERA_EENT_PREPS,Semantic Clinical Drug
403908,RXN_404630,,THERA_ANTIBIOTICS,Semantic Clinical Drug
2177393,,,THERA_BIOLOGICALS,Semantic Clinical Drug
243675,,,THERA_ANALGESICS,Semantic Clinical Drug
106258,RXN_106258,RXN_106258,THERA_SKIN_PREPS,Semantic Clinical Drug
141963,RXN_141963,RXN_141963,THERA_ANTIBIOTICS,Semantic Clinical Drug
1049906,RXN_1049906,RXN_1049906,THERA_ANTIHISTAMINES,Semantic Clinical Drug
895994,RXN_895996,,THERA_ANTIASTHMATICS,Semantic Clinical Drug
313134,RXN_313134,RXN_313134,THERA_ANTIBIOTICS,Semantic Clinical Drug
106346,RXN_106346,RXN_106346,THERA_ANTIBIOTICS,Semantic Clinical Drug
309367,RXN_309367,RXN_309367,THERA_ANTIFUNGALS,Semantic Clinical Drug
242446,RXN_876425,,THERA_ANTIBIOTICS,Semantic Clinical Drug
1053753,RXN_1053753,RXN_1053753,THERA_ANTIFUNGALS,Semantic Clinical Drug
995258,RXN_995258,RXN_995258,THERA_ANTIHISTAMINES,Semantic Clinical Drug
1541622,,,THERA_BIOLOGICALS,Semantic Clinical Drug
6972,,INGSET_1043718+1044580+1164731+1164732+1164733+1164734+1164736+1164742+1164743+1164745+1164746+1236275+1745445+1745447+1745448+237951+2599181+2719928+330041+340168+340616+372932+375879+376515+440571+446485+486184+486186+577924+577926+579997+581813+705908+904505+904552,THERA_UNCLASSIFIED_DRUG_PRODUCTS,Ingredient
311372,RXN_311372,RXN_311372,THERA_ANTIHISTAMINES,Semantic Clinical Drug
