task,arm,split,band,n,pos,prev,auroc,auprc
heart_malformations,vanilla,val,neonate,315,36,0.1143,0.9014,0.6149
heart_malformations,vanilla,val,infant,408,79,0.1936,0.9886,0.9641
heart_malformations,vanilla,val,toddler,223,56,0.2511,0.9852,0.9838
heart_malformations,vanilla,val,preschool,152,37,0.2434,0.9976,0.9942
heart_malformations,vanilla,val,school,134,15,0.1119,0.9748,0.893
heart_malformations,vanilla,val,adolescent,48,0,0.0,,
heart_malformations,vanilla,test,neonate,606,75,0.1238,0.8891,0.6213
heart_malformations,vanilla,test,infant,834,195,0.2338,0.987,0.9679
heart_malformations,vanilla,test,toddler,453,114,0.2517,0.9973,0.9934
heart_malformations,vanilla,test,preschool,286,62,0.2168,0.9996,0.9985
heart_malformations,vanilla,test,school,286,39,0.1364,0.9379,0.917
heart_malformations,vanilla,test,adolescent,108,8,0.0741,0.9712,0.8229
heart_malformations,kernel,val,neonate,315,36,0.1143,0.9466,0.8005
heart_malformations,kernel,val,infant,408,79,0.1936,0.9972,0.9879
heart_malformations,kernel,val,toddler,223,56,0.2511,0.9818,0.9763
heart_malformations,kernel,val,preschool,152,37,0.2434,0.9998,0.9993
heart_malformations,kernel,val,school,134,15,0.1119,0.9697,0.8947
heart_malformations,kernel,val,adolescent,48,0,0.0,,
heart_malformations,kernel,test,neonate,606,75,0.1238,0.9238,0.7954
heart_malformations,kernel,test,infant,834,195,0.2338,0.9747,0.9474
heart_malformations,kernel,test,toddler,453,114,0.2517,0.9996,0.999
heart_malformations,kernel,test,preschool,286,62,0.2168,0.9997,0.999
heart_malformations,kernel,test,school,286,39,0.1364,0.9843,0.9607
heart_malformations,kernel,test,adolescent,108,8,0.0741,0.9875,0.7481
heart_malformations,random_constant,val,neonate,315,36,0.1143,0.9268,0.6844
heart_malformations,random_constant,val,infant,408,79,0.1936,0.9961,0.9835
heart_malformations,random_constant,val,toddler,223,56,0.2511,0.9941,0.9866
heart_malformations,random_constant,val,preschool,152,37,0.2434,0.9932,0.9876
heart_malformations,random_constant,val,school,134,15,0.1119,0.9798,0.9287
heart_malformations,random_constant,val,adolescent,48,0,0.0,,
heart_malformations,random_constant,test,neonate,606,75,0.1238,0.9015,0.6134
heart_malformations,random_constant,test,infant,834,195,0.2338,0.9899,0.98
heart_malformations,random_constant,test,toddler,453,114,0.2517,0.9992,0.998
heart_malformations,random_constant,test,preschool,286,62,0.2168,0.9992,0.9975
heart_malformations,random_constant,test,school,286,39,0.1364,0.9568,0.9331
