task,arm,enc_alpha_l1,enc_dalpha_mean,enc_dalpha_std,enc_const,enc_vary,enc_clamp,pool_alpha_l1,pool_dalpha_mean,pool_dalpha_std,pool_const,pool_vary,pool_clamp,drift_backbone,drift_age,drift_head
heart_malformations,vanilla,1.6293,0.0,0.0,0.0,0.0,0.0,0.2838,0.0,0.0,0.0,0.0,0.0,0.0185,,0.7867
heart_malformations,kernel,0.3664,14.7945,9.1875,9.6105,14.523,0.0,0.2608,8.7422,2.8332,5.8678,7.0726,0.0,0.0137,0.2201,0.7235
heart_malformations,random_constant,0.4425,3.857,0.0,3.857,0.0,0.0,0.2868,12.6337,0.0,12.6337,0.0,0.0,0.0159,0.5672,0.7114
heart_malformations,additive,1.4557,0.0,0.0,0.0,0.0,0.0,0.5426,0.0,0.0,0.0,0.0,0.0,0.0167,0.1954,0.7818
los_gt7,vanilla,1.6228,0.0,0.0,0.0,0.0,0.0,0.2817,0.0,0.0,0.0,0.0,0.0,0.0122,,0.4967
los_gt7,kernel,0.3655,5.1087,5.8799,4.3403,6.4676,0.0,0.2577,7.2069,4.0601,6.5923,4.9963,0.0,0.0076,0.1268,0.3612
los_gt7,random_constant,0.4429,0.6702,0.0,0.6702,0.0,0.0,0.2905,1.4281,0.0,1.4281,0.0,0.0,0.0117,0.0983,0.5113
los_gt7,additive,1.4539,0.0,0.0,0.0,0.0,0.0,0.5415,0.0,0.0,0.0,0.0,0.0,0.0116,0.1248,0.5108
mortality,vanilla,1.6182,0.0,0.0,0.0,0.0,0.0,0.2813,0.0,0.0,0.0,0.0,0.0,0.0115,,0.5302
mortality,kernel,0.3675,4.9151,5.1029,3.5581,6.1266,0.0,0.2625,4.0869,3.9467,2.8728,4.9015,0.0,0.0103,0.1234,0.5378
mortality,random_constant,0.4415,0.5909,0.0,0.5909,0.0,0.0,0.2945,1.0735,0.0,1.0735,0.0,0.0,0.0046,0.0349,0.2752
mortality,additive,1.4528,0.0,0.0,0.0,0.0,0.0,0.5412,0.0,0.0,0.0,0.0,0.0,0.0119,0.1326,0.5747
pneumonia,vanilla,1.6309,0.0,0.0,0.0,0.0,0.0,0.2895,0.0,0.0,0.0,0.0,0.0,0.018,,0.6817
pneumonia,kernel,0.3627,10.159,5.599,7.6851,8.6885,0.0,0.2571,8.9101,4.3405,7.6001,6.3613,0.0,0.0161,0.2108,0.7565
pneumonia,random_constant,0.4375,4.7248,0.0,4.7248,0.0,0.0,0.286,35.3906,0.0,35.3906,0.0,0.0,0.0185,0.6337,0.7155
pneumonia,additive,1.4551,0.0,0.0,0.0,0.0,0.0,0.5449,0.0,0.0,0.0,0.0,0.0,0.0181,0.1569,0.7692
