task,arm,epoch,train_loss,val_auprc,val_auroc,test_auprc,test_auroc
heart_malformations,vanilla,10,0.0964,0.9383,0.978,0.9445,0.9755
heart_malformations,kernel,10,0.0431,0.9566,0.9852,0.9556,0.9822
heart_malformations,random_constant,10,0.0741,0.9524,0.9836,0.9506,0.9767
heart_malformations,additive,10,0.0745,0.9425,0.9805,0.9419,0.9771
los_gt7,vanilla,10,0.4796,0.7838,0.8133,0.7808,0.8183
los_gt7,kernel,10,0.4507,0.7657,0.7927,0.7705,0.8098
los_gt7,random_constant,10,0.4692,0.7759,0.8084,0.7804,0.8161
los_gt7,additive,10,0.4648,0.7821,0.8147,0.7806,0.8158
mortality,vanilla,10,0.1627,0.2718,0.8008,0.2341,0.8257
mortality,kernel,10,0.1538,0.3123,0.8229,0.1948,0.7865
mortality,random_constant,8,0.1686,0.2144,0.807,0.2154,0.8201
mortality,additive,10,0.1551,0.3043,0.8123,0.2244,0.8202
pneumonia,vanilla,10,0.0984,0.7285,0.9462,0.7148,0.9566
pneumonia,kernel,10,0.0445,0.87,0.9775,0.8211,0.98
pneumonia,random_constant,10,0.0489,0.8829,0.9776,0.8521,0.9804
pneumonia,additive,10,0.0627,0.8159,0.9596,0.825,0.9713
