task,arm,best_epoch,best_pt_epoch,n_epochs,early_stop,wall_min,train_loss,val_n,val_prev,val_loss,val_auroc,val_auprc,test_n,test_prev,test_loss,test_auroc,test_auprc
heart_malformations,vanilla,10,10,10,False,3.47,0.0964,1280,0.1742,0.1457,0.978,0.9383,2573,0.1916,0.163,0.9755,0.9445
heart_malformations,kernel,8,8,10,False,3.53,0.0563,1280,0.1742,0.1154,0.9823,0.9618,2573,0.1916,0.1532,0.979,0.9544
heart_malformations,random_constant,9,9,10,False,3.53,0.0819,1280,0.1742,0.1342,0.9857,0.9558,2573,0.1916,0.1495,0.9788,0.9513
heart_malformations,additive,9,9,10,False,3.49,0.0832,1280,0.1742,0.1411,0.981,0.9426,2573,0.1916,0.1488,0.9796,0.9444
los_gt7,vanilla,10,10,10,False,2.54,0.4796,894,0.4497,0.5388,0.8133,0.7838,1760,0.433,0.5329,0.8183,0.7808
los_gt7,kernel,5,5,10,False,2.58,0.4926,894,0.4497,0.5377,0.7973,0.7717,1760,0.433,0.5289,0.8059,0.7727
los_gt7,random_constant,10,10,10,False,2.58,0.4692,894,0.4497,0.5435,0.8084,0.7759,1760,0.433,0.5321,0.8161,0.7804
los_gt7,additive,9,9,10,False,2.55,0.4666,894,0.4497,0.5243,0.8183,0.7855,1760,0.433,0.5317,0.8111,0.7767
mortality,vanilla,7,7,10,False,3.42,0.1746,1266,0.0624,0.1954,0.8047,0.2928,2538,0.054,0.1716,0.8311,0.231
mortality,kernel,7,7,10,False,3.46,0.168,1266,0.0624,0.187,0.8331,0.3237,2538,0.054,0.187,0.8118,0.2196
mortality,random_constant,2,2,8,True,2.76,0.1964,1266,0.0624,0.1994,0.7919,0.2603,2538,0.054,0.1819,0.802,0.2056
mortality,additive,8,8,10,False,3.43,0.1642,1266,0.0624,0.1997,0.8264,0.3221,2538,0.054,0.1706,0.8358,0.2284
pneumonia,vanilla,10,10,10,False,3.48,0.0984,1279,0.0821,0.1419,0.9462,0.7285,2573,0.0672,0.1289,0.9566,0.7148
pneumonia,kernel,10,10,10,False,3.52,0.0445,1279,0.0821,0.1064,0.9775,0.87,2573,0.0672,0.1152,0.98,0.8211
pneumonia,random_constant,10,10,10,False,3.52,0.0489,1279,0.0821,0.1023,0.9776,0.8829,2573,0.0672,0.0928,0.9804,0.8521
pneumonia,additive,10,10,10,False,3.49,0.0627,1279,0.0821,0.1246,0.9596,0.8159,2573,0.0672,0.0963,0.9713,0.825
