scenario,model,internal_model,evaluation_protocol,label_set,AUROC,AUPRC,BCE,CF_RMSE_age,CF_RMSE_lag,Surface_RMSE,surface_definition,mechanism_classification,beta_hat,beta_true,beta_sign_match,delta_BCE_age_shuffle,delta_BCE_beta0,delta_BCE_constant_age,lambda_corr,lambda_RMSE,S5_Surface_RMSE_acute,S5_Surface_RMSE_intermediate,S5_Surface_RMSE_chronic,S5_Surface_RMSE_mean,persistence_order_correct,parameter_count,notes
S0,Previous DTR (age×temporal),dtr_age_temporal,shared_full_label,all_32_targets,0.7336337482190975,0.5200637940516804,0.48398582627073383,0.07685454398849317,0.103253060933449,0.1376530954131273,prediction_probability,PARTIAL_RECOVERY,-0.013123954646289349,0.0,True,NA,NA,NA,NA,0.09524032684884537,NA,NA,NA,NA,NA,814626,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S1,Previous DTR (age×temporal),dtr_age_temporal,shared_full_label,all_32_targets,0.7486063585510937,0.5339555246694893,0.47981016127647597,0.11728286787371336,0.1441146636916833,0.19429796925279993,prediction_probability,NO_MECHANISM_RECOVERY,0.022145776078104973,0.0,True,NA,NA,NA,NA,0.06153713335222211,NA,NA,NA,NA,NA,814626,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S2,Previous DTR (age×temporal),dtr_age_temporal,shared_full_label,all_32_targets,0.7649875372576532,0.5835163388130011,0.45514365086911396,0.19667186309820064,0.16513315872128306,0.22658061397557958,prediction_probability,NO_MECHANISM_RECOVERY,-0.12835447490215302,-2.5,True,NA,NA,NA,0.9678170652043585,0.7832826706524987,NA,NA,NA,NA,NA,814626,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S3,Previous DTR (age×temporal),dtr_age_temporal,shared_full_label,all_32_targets,0.7353995731823573,0.5321221568558453,0.4862807750227771,0.14401438079703965,0.10706394480996546,0.17569951791444688,prediction_probability,NO_MECHANISM_RECOVERY,0.041714247316122055,2.5,True,NA,NA,NA,0.9649148385843445,0.8144478080530734,NA,NA,NA,NA,NA,814626,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S5,Previous DTR (age×temporal),dtr_age_temporal,shared_full_label,all_32_targets,0.7789229355596257,0.5981038477140412,0.45214599513878195,0.1679272445529915,0.0973200485536215,0.19213574664894334,prediction_probability,NO_HETEROGENEOUS_PERSISTENCE_RECOVERY,-0.1817009150981903,-2.5,True,NA,NA,NA,0.969362779532831,0.75691007082215,0.30710954265517354,0.2862969607797511,0.2094610468538586,0.26762251676292775,False,814626,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S0,Previous DTR (temporal-only),dtr_temporal_only,shared_full_label,all_32_targets,0.7350751795955103,0.5224281472485225,0.48306237833878646,0.0740479061866259,0.10706261904923065,0.1415443453441576,prediction_probability,PARTIAL_RECOVERY,0.0,0.0,True,NA,NA,NA,NA,0.08667987326434269,NA,NA,NA,NA,NA,814625,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S1,Previous DTR (temporal-only),dtr_temporal_only,shared_full_label,all_32_targets,0.7486295288931026,0.5339855400186552,0.47979403171792134,0.1171649493090065,0.14410033062381325,0.1942892025443429,prediction_probability,NO_MECHANISM_RECOVERY,0.0,0.0,True,NA,NA,NA,NA,0.06141506055103396,NA,NA,NA,NA,NA,814625,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S2,Previous DTR (temporal-only),dtr_temporal_only,shared_full_label,all_32_targets,0.764220847354335,0.582482534524904,0.45519592976765094,0.17799513365235584,0.16710409590751985,0.2251274387070816,prediction_probability,NO_MECHANISM_RECOVERY,0.0,-2.5,False,NA,NA,NA,NA,0.8179800269361187,NA,NA,NA,NA,NA,814625,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S3,Previous DTR (temporal-only),dtr_temporal_only,shared_full_label,all_32_targets,0.7339984852356757,0.5298513964053494,0.4879040397044413,0.14923354891625212,0.10719243759432705,0.18600283980330118,prediction_probability,NO_MECHANISM_RECOVERY,0.0,2.5,False,NA,NA,NA,NA,0.825891490390319,NA,NA,NA,NA,NA,814625,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
S5,Previous DTR (temporal-only),dtr_temporal_only,shared_full_label,all_32_targets,0.7793367208532672,0.5981782036106765,0.4521696397296629,0.18252037562564313,0.09509979641147508,0.19229261231275838,prediction_probability,NO_HETEROGENEOUS_PERSISTENCE_RECOVERY,0.0,-2.5,False,NA,NA,NA,NA,0.8154993997221451,0.25630936366745843,0.2530983589914388,0.26016609756336917,0.25652460674075545,False,814625,Universal CF metrics from cf_report. Test metrics are micro-averaged on the held-out patients. beta_hat/lambda read from best_checkpoint temporal.beta/theta0; ablations were not saved.
