scenario,comparison,delta_AUROC,delta_AUPRC,delta_BCE,delta_CF_RMSE_age,delta_CF_RMSE_lag,delta_Surface_RMSE,surface_definition
S0,Content-Persistence DTR minus DTR temporal-only,-0.0006693250761963254,-0.0008795582102549826,0.001406001958889458,NA,NA,-0.028655399182809765,gate_relevance
S1,Content-Persistence DTR minus DTR temporal-only,-0.0013676449383331901,-0.0049238051347859635,0.002579365489963792,NA,NA,0.008316280447799848,gate_relevance
S2,Content-Persistence DTR minus DTR temporal-only,0.014202049363261304,0.025921247423198013,-0.026371204201342535,NA,NA,-0.2008405629455751,gate_relevance
S3,Content-Persistence DTR minus DTR temporal-only,0.01745499891563651,0.036128932783358936,-0.026614816889487802,NA,NA,-0.16825477293512292,gate_relevance
S5,Content-Persistence DTR minus DTR temporal-only,NA,NA,NA,NA,NA,NA,NA
S5,Content-Persistence DTR minus Global-Persistence DTR,0.0017603684230784733,0.0045424933575004545,-0.0022449297404535384,NA,NA,-0.03352820928400133,gate_relevance
S0,Previous DTR (age×temporal) minus Previous DTR (temporal-only),-0.0014414313764127273,-0.0023643531968421394,0.0009234479319473743,0.0028066378018672677,-0.003809558115781639,-0.003891249931030294,prediction_probability
S1,Previous DTR (age×temporal) minus Previous DTR (temporal-only),-2.3170342008937972e-05,-3.0015349165912752e-05,1.6129558554622836e-05,0.00011791856470685924,1.4333067870048177e-05,8.76670845703642e-06,prediction_probability
S2,Previous DTR (age×temporal) minus Previous DTR (temporal-only),0.0007666899033181851,0.0010338042880971843,-5.227889853698375e-05,0.01867672944584481,-0.001970937186236782,0.0014531752684979748,prediction_probability
S3,Previous DTR (age×temporal) minus Previous DTR (temporal-only),0.0014010879466815895,0.002270760450495901,-0.0016232646816641827,-0.0052191681192124695,-0.0001284927843615835,-0.0103033218888543,prediction_probability
S5,Previous DTR (age×temporal) minus Previous DTR (temporal-only),-0.00041378529364155536,-7.435589663529196e-05,-2.3644590880944616e-05,-0.014593131072651644,0.0022202521421464255,-0.00015686566381503675,prediction_probability
