model,S2_CF_RMSE_age,S2_CF_RMSE_lag,S2_Surface_RMSE,S2_mechanism_class,S3_CF_RMSE_age,S3_CF_RMSE_lag,S3_Surface_RMSE,S3_mechanism_class,S2_beta_hat,S3_beta_hat,S2_lambda_RMSE,S3_lambda_RMSE
Previous DTR (age×temporal),0.19667186309820064,0.16513315872128306,0.22658061397557958,NO_MECHANISM_RECOVERY,0.14401438079703965,0.10706394480996546,0.17569951791444688,NO_MECHANISM_RECOVERY,-0.12835447490215302,0.041714247316122055,0.7832826706524987,0.8144478080530734
Previous DTR (temporal-only),0.17799513365235584,0.16710409590751985,0.2251274387070816,NO_MECHANISM_RECOVERY,0.14923354891625212,0.10719243759432705,0.18600283980330118,NO_MECHANISM_RECOVERY,0.0,0.0,0.8179800269361187,0.825891490390319
Previous DTR (age-only),0.18698744152257019,0.17440324531755866,0.21269530173925405,NO_MECHANISM_RECOVERY,0.14044721920426442,0.1109862047254232,0.15236713530528195,NO_MECHANISM_RECOVERY,0.0,0.0,NA,NA
Previous DTR (no age),0.19471924379760877,0.1616096524318074,0.2209947286226049,NO_MECHANISM_RECOVERY,0.16148515709018516,0.11374984351958395,0.17397368762474028,NO_MECHANISM_RECOVERY,0.0,0.0,NA,NA
Count + LightGBM,0.19259326108816904,0.21965649318676714,0.2071067906693188,NO_MECHANISM_RECOVERY,0.14779522546674329,0.1265466732657363,0.15873331599923154,NO_MECHANISM_RECOVERY,NA,NA,NA,NA
RETAIN,0.22259415110144776,0.19305304830790904,0.23632075771887726,NO_MECHANISM_RECOVERY,0.22278310432494905,0.200417995716798,0.21729257335797186,NO_MECHANISM_RECOVERY,NA,NA,NA,NA
EHR-BERT,0.21087936715672156,0.1947272641321826,0.23387091107026506,NO_MECHANISM_RECOVERY,0.17779768984484912,0.1100835689246729,0.17397667379367174,NO_MECHANISM_RECOVERY,NA,NA,NA,NA
Med-BERT,0.1940623656226302,0.19620154390176972,0.23435308132621824,NO_MECHANISM_RECOVERY,0.1887189379227053,0.12404673082339705,0.18309500177854826,NO_MECHANISM_RECOVERY,NA,NA,NA,NA
BEHRT,0.18943315614033002,0.18597841495275946,0.21725437915873763,NO_MECHANISM_RECOVERY,0.15132610198469845,0.1188396824710489,0.1614531261743449,NO_MECHANISM_RECOVERY,NA,NA,NA,NA
CEHR-BERT,0.09827911344233253,0.1107840133457542,0.13078465452453683,NO_MECHANISM_RECOVERY,0.10788032633563284,0.08907526947594317,0.13263925862208345,NO_MECHANISM_RECOVERY,NA,NA,NA,NA
