model,S0_CF_RMSE_age,S0_Surface_RMSE,S1_CF_RMSE_age,S1_Surface_RMSE,false_interaction_flag
Previous DTR (age×temporal),0.07685454398849317,0.1376530954131273,0.11728286787371336,0.19429796925279993,True
Previous DTR (temporal-only),0.0740479061866259,0.1415443453441576,0.1171649493090065,0.1942892025443429,True
Previous DTR (age-only),0.10789013744474897,0.1244819515934898,0.1833354981324849,0.18704223148267585,True
Previous DTR (no age),0.12711520872166107,0.12843719165546788,0.18263526771243524,0.1928646346620086,True
Count + LightGBM,0.13315036607044697,0.12714998291567858,0.18271410613419964,0.186274844934103,True
RETAIN,0.1504379426130384,0.15622829879787603,0.22592863923555703,0.21766787472905225,True
EHR-BERT,0.12972364507893944,0.13522214569877658,0.18696455286438332,0.20610041112839145,True
Med-BERT,0.1570845489175863,0.15201453888738842,0.20756627066404035,0.19420513367597494,True
BEHRT,0.1480518934423839,0.14188120526172893,0.1774569320053043,0.19749801307984088,True
CEHR-BERT,0.059703879008804486,0.07536109371867472,0.09949676354460602,0.11103912223131346,True
