model,S0_AUROC,S0_AUPRC,S1_AUROC,S1_AUPRC,S2_AUROC,S2_AUPRC,S3_AUROC,S3_AUPRC,S5_AUROC,S5_AUPRC
Previous DTR (age×temporal),0.7336337482190975,0.5200637940516804,0.7486063585510937,0.5339555246694893,0.7649875372576532,0.5835163388130011,0.7353995731823573,0.5321221568558453,0.7789229355596257,0.5981038477140412
Previous DTR (temporal-only),0.7350751795955103,0.5224281472485225,0.7486295288931026,0.5339855400186552,0.764220847354335,0.582482534524904,0.7339984852356757,0.5298513964053494,0.7793367208532672,0.5981782036106765
Previous DTR (age-only),0.6847193656429312,0.4219035480124109,0.707861094366567,0.4573508632097864,0.7391703960590388,0.5438621944924698,0.7113243885560692,0.4970520473769371,0.7479558291367344,0.5409085294744242
Previous DTR (no age),0.6844326398565582,0.42427767625940993,0.709398268821437,0.45991362555354415,0.7357498421546737,0.5368777920939666,0.7069761102248724,0.49213978014564475,0.74875513055379,0.5416954025803973
Count + LightGBM,0.6764262101339802,0.4041516740195133,0.6950481336787079,0.4400450485501328,0.7287378904539711,0.5204211769741867,0.7064555593011286,0.48769548798716617,0.7369950145636368,0.5264124001734939
RETAIN,0.6321535392064408,0.3589857088839732,0.6329945611813136,0.35794484613481625,0.6754570275068469,0.434904723874658,0.6069475148626466,0.3571356015168486,0.6710467450615982,0.41995148066680643
EHR-BERT,0.6775180440999151,0.4132730405173286,0.6972044961684921,0.4431947633977149,0.7311908869154596,0.5240174387304106,0.7017883271075869,0.48194228123348987,0.7380493738023421,0.5195688501216945
Med-BERT,0.673444232143667,0.40938242168484934,0.6954422606366687,0.4429163362184387,0.7265579128836528,0.5154060889610518,0.7003631116725944,0.4790053112113866,0.735388812594908,0.5208639695020822
BEHRT,0.6457500062556398,0.37200928643149084,0.6961718502539264,0.4379717482244873,0.7228037536367555,0.5076974166716162,0.7014311273722769,0.47884712857320894,0.7354948767496065,0.521776608809778
CEHR-BERT,0.7296597332673364,0.5204594710939565,0.7480442508714803,0.5393457450833518,0.7635682281963081,0.5818115186216142,0.7375761982691252,0.5344520579930946,0.7788738430080223,0.6010506949940458
