model,AUROC,AUPRC,CF_RMSE_age,CF_RMSE_lag,S5_Surface_RMSE_acute,S5_Surface_RMSE_intermediate,S5_Surface_RMSE_chronic,S5_Surface_RMSE_mean,persistence_order_correct
Previous DTR (age×temporal),0.7789229355596257,0.5981038477140412,0.1679272445529915,0.0973200485536215,0.30710954265517354,0.2862969607797511,0.2094610468538586,0.26762251676292775,False
Previous DTR (temporal-only),0.7793367208532672,0.5981782036106765,0.18252037562564313,0.09509979641147508,0.25630936366745843,0.2530983589914388,0.26016609756336917,0.25652460674075545,False
Previous DTR (age-only),0.7479558291367344,0.5409085294744242,0.22075113206300268,0.12445650485709499,0.36004194142362983,0.26043974334627135,0.33984590020773764,0.32010919499254625,False
Previous DTR (no age),0.74875513055379,0.5416954025803973,0.2234238372021708,0.11145388587000064,0.2839824171756388,0.2548312221606224,0.20150807708923496,0.24677390547516542,False
Count + LightGBM,0.7369950145636368,0.5264124001734939,0.13721502163309673,0.10714305333035457,0.17737730039357802,0.14840668089826173,0.10307011685808892,0.14295136604997621,False
RETAIN,0.6710467450615982,0.41995148066680643,0.24439975926523236,0.17084537508141,0.3074460588841163,0.2141409515229576,0.2987770631614277,0.27345469118950055,False
EHR-BERT,0.7380493738023421,0.5195688501216945,0.22629514988815258,0.13081390017911187,0.18918226797841142,0.20195269904648114,0.16118416555521808,0.18410637752670356,False
Med-BERT,0.735388812594908,0.5208639695020822,0.22395385845959576,0.09885111712219147,0.21119746477992707,0.19966350463170093,0.16272766154434035,0.1911962103186561,False
BEHRT,0.7354948767496065,0.521776608809778,0.14480363726128023,0.08962711505430933,0.19326018785805052,0.15862339840130715,0.11792384069913502,0.1566024756528309,False
CEHR-BERT,0.7788738430080223,0.6010506949940458,0.06732719612526707,0.11157569001298778,0.15091688957371838,0.13511170590238336,0.14055923589706826,0.14219594379105666,True
